id,nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,citado,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,departamento
1246,C. F. Villaquirán Raigoza,Villaquirán Raigoza C.,55883942000,9-s2.0-55883942000,"",1,29/10/2013,1,1,1,2,update,"Ceramics and Composites, Mechanics of Materials, Industrial and Manufacturing Engineering",2002-2002,Universidad del Cauca,Grupo CYTEMA
1247,Federico Benitez,Benitez F.,55867594200,9-s2.0-55867594200,"",1,07/10/2013,4,4,1,4,update,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2013-2013,"Intensive Care Unit La Estancia Clinic, Universidad del Cauca"," , Department of General Surgery"
1248,P. Yasnó,Yasnó P.,55848620300,9-s2.0-55848620300,"",1,18/09/2013,1,1,1,4,update,"Ceramics and Composites, Industrial and Manufacturing Engineering, Mechanics of Materials",2013-2013,Universidad del Cauca,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC)
1250,Gerardo Rojas Sierra,Sierra G.,55840356200,9-s2.0-55840356200,"",1,08/09/2013,0,0,0,3,update,Computer Networks and Communications,2011-2011,Universidad del Cauca,Telematics Engineering Research Group
1251,L. F E Reyes-Carvajal,Reyes-Carvajal L.,55839342900,9-s2.0-55839342900,"",1,08/09/2013,7,7,1,9,update,"Genetics (clinical), Genetics",2013-2013,Universidad del Cauca,Department of Biology
1252,Mauricio Maca,Maca M.,55839256700,9-s2.0-55839256700,"",1,08/09/2013,0,0,0,4,update,"Theoretical Computer Science, Computer Science (all)",2013-2013,Universidad del Cauca,Department of Mathematics
1253,W. Libardo Pantoja,Pantoja W.,55838727100,9-s2.0-55838727100,"",1,08/09/2013,3,3,1,2,new,Engineering (all),2013-2013,Universidad del Cauca,""
1254,Carmen J. Sánchez,Sánchez C.,55837722700,9-s2.0-55837722700,"",1,06/09/2013,0,0,0,3,new,Software,2007-2007,Universidad del Cauca,Grupo IDIS
1255,Carlos Hernán Tobar,Tobar C.,55837605300,9-s2.0-55837605300,"",1,06/09/2013,0,0,0,3,new,Software,2007-2007,Universidad del Cauca,Grupo IDIS
1256,Maria E. Solís,Solís M.,55837160400,9-s2.0-55837160400,"",1,06/09/2013,0,0,0,3,new,Software,2007-2007,Universidad del Cauca,Grupo IDIS
1257,M. Martínez Magín,Magín M.,55831548200,9-s2.0-55831548200,"",1,02/09/2013,0,0,0,2,update,Computer Networks and Communications,2013-2013,Universidad del Cauca,""
1258,Fernando Aparicio Urbano-Molano,Urbano-Molano F.,55774515000,9-s2.0-55774515000,0000-0003-1074-8701,1,03/07/2013,4,4,1,2,update,"Control and Systems Engineering, Hardware and Architecture",2013-2013,Universidad del Cauca,Departamento de Telemática
1259,José Javier Rodriguez,Rodriguez J.,55773357100,9-s2.0-55773357100,"",1,03/07/2013,1,1,1,3,update,"Surgery, Dermatology",2012-2012,Universidad del Cauca,""
1260,Bernardo R. Ramírez P,Ramírez P B.,55664478300,9-s2.0-55664478300,"",1,09/05/2013,0,0,0,2,update,Plant Science,2008-2008,Universidad del Cauca,""
1261,Eruin Alonso Sánchez Ordoñez,Ordoñez E.,55658176000,9-s2.0-55658176000,"",1,04/05/2013,2,2,1,0,new,Education,2013-2013,Universidad del Cauca,""
1262,Luisa F. Escobar,Escobar L.,55635046900,9-s2.0-55635046900,"",1,05/04/2013,7,7,1,12,update,"Cultural Studies, Archeology (arts and humanities), History, Anthropology",2012-2012,"Universidad del Cauca, Stony Brook University","Department of Biology, Departments of Pharmacological Sciences and Chemistry"
1263,Ingrid Reyes,Reyes I.,55634063400,9-s2.0-55634063400,"",1,05/04/2013,7,7,1,12,update,"History, Anthropology, Cultural Studies, Archeology (arts and humanities)",2012-2012,Universidad del Cauca,Department of Biology
1264,R. Elizabeth Tabares,Elizabeth Tabares R.,55633765000,9-s2.0-55633765000,"",1,05/04/2013,0,0,0,2,update,"Cultural Studies, History, Anthropology, Archeology (arts and humanities)",2012-2012,Universidad del Cauca,Department of Anthropology
1265,Gaby E. Zemanate R,Zemanate R G.,55606331000,9-s2.0-55606331000,"",1,04/03/2013,0,0,0,2,update,Information Systems,2012-2012,Universidad del Cauca,Departamento de Telemática
1266,Johan E. Tique R,Tique R J.,55605913500,9-s2.0-55605913500,"",1,04/03/2013,0,0,0,2,update,Information Systems,2012-2012,Universidad del Cauca,Departamento de Telemática
1267,Oscar R. Anacona,Anacona O.,55600491800,9-s2.0-55600491800,"",1,27/02/2013,1,1,1,3,new,"Industrial and Manufacturing Engineering, Materials Science (all)",2013-2013,Universidad del Cauca,Department of Physics
