nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Camilo Andrade-Sossa,Andrade-Sossa C.,8696062300,9-s2.0-8696062300,0000-0003-4047-2443,7,29/11/2005,73,103,6,24,update,"Plant Science, Oceanography, Ecological Modeling, Nature and Landscape Conservation, Aquatic Science, Ecology, Agricultural and Biological Sciences (all), Water Science and Technology, Neuroscience (all), Agricultural and Biological Sciences (miscellaneous), Medicine (all), Biochemistry, Genetics and Molecular Biology (all), Animal Science and Zoology",2000-2021,Universidad del Cauca,104717530,Department of Biology
Juan Fernando Florez M,Florez M J.,57869816100,9-s2.0-57869816100,,1,08/09/2022,0,0,0,0,new,"Hardware and Architecture, Education, Media Technology, Electrical and Electronic Engineering",2022-2022,Universidad del Cauca,128522437,and Control
Gaviria Lopez Carlos,Carlos G.,56682742900,9-s2.0-56682742900,0000-0002-9773-7660,11,22/06/2015,86,91,4,23,update,"Theoretical Computer Science, Waste Management and Disposal, Instrumentation, Control and Systems Engineering, Engineering (all), Decision Sciences (miscellaneous), Hardware and Architecture, Mechanical Engineering, Environmental Chemistry, Artificial Intelligence, Biophysics, Building and Construction, Signal Processing, Computer Science (all), Acoustics and Ultrasonics, Computer Vision and Pattern Recognition, Radiological and Ultrasound Technology, Water Science and Technology, Electrical and Electronic Engineering",2003-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones
María Paula Polo-Muñoz,Polo-Muñoz M.,57832297500,9-s2.0-57832297500,,1,11/08/2022,0,0,0,4,new,"Food Science, Ecology, Global and Planetary Change, Horticulture, Management, Monitoring, Policy and Law, Agronomy and Crop Science",2022-2022,Universidad del Cauca,122165944,Departamento de Ingeniería Agroindustrial
Gloria Liliana Rojas F,Rojas F G.,57188590416,9-s2.0-57188590416,,1,10/04/2016,0,0,0,2,update,"Bioengineering, Pharmacology, Toxicology and Pharmaceutics (all), Biotechnology, Applied Microbiology and Biotechnology, Food Science",2016-2016,Universidad del Cauca,116479165,Grupo ASUBAGROIN
Andrea Pabón,Pabón A.,57614069200,9-s2.0-57614069200,,1,30/04/2022,0,0,0,4,update,"Rehabilitation, Computer Science Applications, Health (social science), Public Health, Environmental and Occupational Health",2022-2022,Universidad del Cauca,118358355,Grupo de investigación en Inteligencia Computacional
Ofelia Mejia-Egas,Mejia-Egas O.,57687450400,9-s2.0-57687450400,,1,23/05/2022,2,2,1,2,new,"Agricultural and Biological Sciences (all), Mathematics (all), Earth and Planetary Sciences (all), Chemistry (all), Energy (all), Biochemistry, Genetics and Molecular Biology (all), History and Philosophy of Science, Physics and Astronomy (all)",2017-2017,Universidad del Cauca,104717530,Department of Biology
Roberto Carlos Naranjo Cuervo,Cuervo R.,36052506100,9-s2.0-36052506100,,2,27/05/2010,1,1,1,2,update,"Software, Education, Building and Construction, Human-Computer Interaction, Engineering (all)",2009-2010,Universidad del Cauca,60051434,
Angela María Castano Marín,Marín A.,57191883308,9-s2.0-57191883308,,1,17/11/2016,1,1,1,6,new,"Soil Science, Agronomy and Crop Science",2017-2017,Universidad del Cauca,60051434,
Fabiola E. González C,González C F.,55665064400,9-s2.0-55665064400,,2,09/05/2013,49,49,2,11,update,"Microbiology, Infectious Diseases",2018-2019,Universidad del Cauca,104717539,Department of Internal Medicine
C. Ararat,Ararat C.,57223723279,9-s2.0-57223723279,,1,27/05/2021,13,13,1,2,new,"Ceramics and Composites, Mechanics of Materials, Industrial and Manufacturing Engineering",2005-2005,Universidad del Cauca,104717556,Grupo CYTEMAC
Carlos A. Arias,Arias C.,57200422810,9-s2.0-57200422810,,3,07/02/2018,8,8,2,4,update,"Mathematics (all), History and Philosophy of Science, Energy (all), Chemistry (all), Biochemistry, Genetics and Molecular Biology (all), Physics and Astronomy (all), Numerical Analysis, Earth and Planetary Sciences (all), Applied Mathematics, Agricultural and Biological Sciences (all), Computational Mathematics",2018-2022,Universidad del Cauca,104717531,Department of Mathematics
