nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento
Luciano Amanda Lucía Fernandez Pérez,Fernandez Pérez L.,56656375600,9-s2.0-56656375600,,2,02/06/2015,9,12,2,10,update,"Management Science and Operations Research, Management of Technology and Innovation, Business and International Management",2015-2015,Universidad del Cauca,60051434,
Henry Castrillón,Castrillón H.,57221712521,9-s2.0-57221712521,,4,02/02/2021,44,47,2,2317,update,"Education, Infectious Diseases, Critical Care and Intensive Care Medicine, Statistics, Probability and Uncertainty, Information Systems, Microbiology (medical), Computer Science Applications, Statistics and Probability, Library and Information Sciences",2021-2022,Universidad del Cauca,60051434,
Lizeth Bermeo,Bermeo L.,57219227764,9-s2.0-57219227764,,3,06/10/2020,30,30,1,18,update,"Civil and Structural Engineering, Inorganic Chemistry, Molecular Biology, Pollution, Environmental Engineering, Waste Management and Disposal, Aquatic Science, Organic Chemistry, Geography, Planning and Development, Physical and Theoretical Chemistry, Biochemistry, Spectroscopy, Computer Science Applications, Water Science and Technology, Ecological Modeling, Catalysis",2020-2022,"Universidad del Cauca, Universitat Politècnica de Catalunya","113340876, 115237288","Departamento de Ing. Ambiental, UNESCO Chair on Sustainability"
Jennifer Erazo Martínez,Martínez J.,57677130500,9-s2.0-57677130500,,1,17/05/2022,1,1,1,2,new,Engineering (all),2016-2016,Universidad del Cauca,107923473,Grupo IDIS
Omaira Ceballos,Ceballos O.,6602134399,9-s2.0-6602134399,,3,02/12/2005,11,11,2,11,update,,2002-2005,Universidad del Cauca,104717539,Department of Internal Medicine
Willian Norbey Gurrute Quintana,Quintana W.,58086431500,9-s2.0-58086431500,,1,06/02/2023,0,0,0,2,new,Medicine (all),2023-2023,Universidad del Cauca,60051434,
Roman Stechauner Rohringer,Rohringer R.,57216928206,9-s2.0-57216928206,,5,31/05/2020,22,25,2,13,update,"Soil Science, Animal Science and Zoology, Agricultural and Biological Sciences (all), Museology, Conservation, Agronomy and Crop Science, Plant Science, Food Science, Horticulture, Veterinary (all)",2014-2022,Universidad del Cauca,60051434,
Francisco Alfredo Acosta-Argoty,Acosta-Argoty F.,57201019404,9-s2.0-57201019404,,1,10/03/2018,5,5,1,4,new,"Pediatrics, Perinatology and Child Health",2016-2016,Universidad del Cauca,104717536,Department of Pediatrics
Andrés F. Negrete G,Negrete G A.,57222143231,9-s2.0-57222143231,,1,03/03/2021,0,0,0,6,new,Computer Science (all),2020-2020,Institución Universitaria Colegio Mayor del Cauca,117795037,
Tania Guadalupe Cañizares-Hernández,Cañizares-Hernández T.,57224981970,9-s2.0-57224981970,,1,02/07/2021,0,0,0,2,new,Engineering (all),2020-2020,Universidad del Cauca,60051434,
Daniel Fernando Chávez Ruiz,Chávez Ruiz D.,57928255500,9-s2.0-57928255500,,1,21/10/2022,0,0,0,3,new,"Environmental Science (miscellaneous), Management, Monitoring, Policy and Law",2021-2021,Corporación Universitaria Comfacauca,128736839,Ingeniero Mecatrónico
Ivonne Muñoz,Muñoz I.,57201017117,9-s2.0-57201017117,,1,10/03/2018,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,104717536,Department of Pediatrics
Andres Soto,Soto A.,57195534111,9-s2.0-57195534111,,1,08/09/2017,1,1,1,4,new,"Computer Science (all), Mathematics (all)",2017-2017,Fundacion Universitaria de Popayán,118671345,Intelligent Management Systems Group
Susana Bonilla,Bonilla S.,56026595800,9-s2.0-56026595800,,1,20/02/2014,103,103,1,4,update,"Artificial Intelligence, Computer Science Applications, Engineering (all)",2014-2014,Universidad del Cauca,114186199,Sector Tulcán Office 450
Juan Diego Otero Sarmiento,Otero Sarmiento J.,57195274213,9-s2.0-57195274213,,1,10/08/2017,5,5,1,3,new,"Pollution, Waste Management and Disposal",2017-2017,Universidad del Cauca,115881015,Grupo de Estudios Ambientales
John J. López,López J.,57202882733,9-s2.0-57202882733,,2,15/07/2018,0,0,0,3,update,"Mathematics (all), Algebra and Number Theory",2017-2019,Universidad del Cauca,104717531,Department of Mathematics
Siler Amador Donado,Donado S.,57193958927,9-s2.0-57193958927,,20,27/04/2017,37,40,2,32,update,"Engineering (all), Mathematics (all), Biotechnology, Education, Genetics, Molecular Biology, Computer Science (all)",2010-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones
Fernando Aparicio Urbano-Molano,Urbano-Molano F.,55774515000,9-s2.0-55774515000,0000-0003-1074-8701,1,03/07/2013,4,4,1,2,update,"Control and Systems Engineering, Hardware and Architecture",2013-2013,Universidad del Cauca,104717552,Departamento de Telemática
Jessner Alexander Mejia,Mejia J.,57196437641,9-s2.0-57196437641,,1,14/11/2017,0,0,0,1,new,"Information Systems, Artificial Intelligence, Computer Networks and Communications",2017-2017,Fundacion Universitaria de Popayán,60108709,
Lida E. Iles,Iles L.,57219177284,9-s2.0-57219177284,,1,01/10/2020,0,0,0,2,new,Human-Computer Interaction,2009-2009,"Universidad del Cauca, Universidad del Cauca","107923473, 114460865","Grupo IDIS, Department of Systems Engineering"
Helmer Paz Orozco,Orozco H.,57220042659,9-s2.0-57220042659,,1,30/11/2020,2,2,1,4,new,"Computer Science (all), Mathematics (all)",2020-2020,Corporación Universitaria Comfacauca - Unicomfacauca,117305237,
Hernán Otoniel Fernandez Ordonex,Fernandez Ordonex H.,56453539800,9-s2.0-56453539800,,1,26/12/2014,0,0,0,0,update,Civil and Structural Engineering,2014-2014,"University of Arkansas at Little Rock, Universidad del Cauca","60001241, 60051434"," ,  "
César A. Millán,Millán C.,57209271558,9-s2.0-57209271558,,2,17/06/2019,11,11,1,2,update,"Health Informatics, Pollution, Biomedical Engineering, Public Health, Environmental and Occupational Health, Health, Toxicology and Mutagenesis, Health Information Management",2019-2020,Universidad del Cauca,104717554,Telematics Department
Juan G. Bernal,Bernal J.,55367814700,9-s2.0-55367814700,,1,06/10/2012,5,5,1,2,update,"Health Information Management, Biomedical Engineering, Health Informatics",2012-2012,"Universidad del Cauca, Pacific Health Solutions S.A.S.","112213444, 121599059","Faculty of Electronic Engineering and Telecommunications,  "
Hanier Hernán Agudelo-Ledezma,Agudelo-Ledezma H.,57877312100,9-s2.0-57877312100,,1,13/09/2022,0,0,0,7,new,Surgery,2022-2022,Universidad del Cauca,60051434,
Fernando Córdoba,Córdoba F.,57214358415,9-s2.0-57214358415,,1,04/02/2020,2,2,1,12,update,"Genetics (clinical), Genetics",2020-2020,Fundación José María Delgado-Paredes para Promover la Investigación en Medicina,123836332,
Obeimar Medina-Gutiérrez,Medina-Gutiérrez O.,57194014319,9-s2.0-57194014319,,1,13/05/2017,0,0,0,2,new,Agricultural and Biological Sciences (all),2016-2016,Universidad del Cauca,118429707,Estudiante Último Año Programa Ingeniería Ambiental
Alicia Ortega-Narváez,Ortega-Narváez A.,57222098626,9-s2.0-57222098626,,1,02/03/2021,1,1,1,4,update,"Biochemistry, Genetics and Molecular Biology (all), Medicine (all)",2021-2021,Universidad del Cauca,60051434,
Stivens A. Dionizio,Dionizio S.,57200219365,9-s2.0-57200219365,,3,16/01/2018,12,12,1,17,update,"Physics and Astronomy (all), Materials Science (all), Chemistry (all)",2018-2022,Universidad del Cauca,104717527,Department of Physics
Diana Isabel Giron Madronero,Giron Madronero D.,57219837963,9-s2.0-57219837963,0000-0002-0858-8289,1,12/11/2020,1,1,1,3,update,"Pharmacology, Pharmacology (medical)",2020-2020,Fundacion Universitaria de Popayán,125334901,Docente investigadora Programa de Psicologia
Charles S. Muñoz-Nates,Muñoz-Nates C.,58089624800,9-s2.0-58089624800,,1,09/02/2023,0,0,0,6,new,"Animal Science and Zoology, Ecology, Evolution, Behavior and Systematics",2022-2022,"Universidad del Cauca, Asociación Ornitológica del Cauca","110043908, 129147694","Exactas y de la Educación,  "
Diana Mariaca,Mariaca D.,58072045300,9-s2.0-58072045300,,1,30/01/2023,0,0,0,2,new,"Control and Optimization, Renewable Energy, Sustainability and the Environment, Energy Engineering and Power Technology, Process Chemistry and Technology, Computer Science Applications, Industrial and Manufacturing Engineering, Computer Networks and Communications, Artificial Intelligence",2022-2022,Universidad del Cauca,104717537,Department of Electronics
Liz Betty Garcíad,Garcíad L.,8455100800,9-s2.0-8455100800,,1,02/12/2005,6,6,1,2,update,,2004-2004,Universidad del Cauca,104717546,Facultad de Ciencias de la Salud
Jazmín Calvache-Muñoz,Calvache-Muñoz J.,57194472015,9-s2.0-57194472015,,3,16/06/2017,92,95,3,6,update,"Chemical Engineering (miscellaneous), Process Chemistry and Technology, Colloid and Surface Chemistry, Pollution, Surfaces and Interfaces, Polymers and Plastics, Waste Management and Disposal, Materials Chemistry, Physical and Theoretical Chemistry",2017-2019,Universidad del Cauca,104717527,Department of Physics
Edward Molina,Molina E.,57195062487,9-s2.0-57195062487,,3,26/07/2017,23,23,2,10,update,"Medicine (all), Computer Science (all), Nursing (all), Theoretical Computer Science, Mathematics (all)",2017-2020,Universidad del Cauca,104717554,Telematics Department
Miguel F. Gutiérrez,Gutiérrez M.,56245649200,9-s2.0-56245649200,,2,16/07/2014,4,4,2,10,update,"Health Informatics, Biomedical Engineering, Health Information Management",2014-2014,Universidad del Cauca,109856659,Department of Telecommunications
Jhoan Danilo Arcos Rosero,Arcos Rosero J.,57783775600,9-s2.0-57783775600,,1,12/07/2022,0,0,0,4,new,Bioengineering,2022-2022,Corporación Universitaria Comfacauca—Unicomfacauca,128310660,Faculty of Engineering
Juan J. Rosero,Rosero J.,57292345000,9-s2.0-57292345000,,1,18/10/2021,0,0,0,3,new,"Biomedical Engineering, Mechanical Engineering, Artificial Intelligence",2022-2022,Universidad del Cauca,60051434,
Alexander Mampotes,Mampotes A.,57214818834,9-s2.0-57214818834,,2,14/02/2020,0,0,0,4,update,Computer Science (all),2020-2021,Institución Universitaria Colegio Mayor del Cauca,117795037,
Carolina Delgado-Hurtado,Delgado-Hurtado C.,57215667029,9-s2.0-57215667029,,2,21/03/2020,3,3,1,5,update,"Marketing, Business and International Management, Engineering (all), Finance, Economics and Econometrics, Strategy and Management, Management of Technology and Innovation",2013-2016,Universidad del Cauca,117691942,Facultad de Ciencias Contables
Fernando Ayerbe-Quiñones,Ayerbe-Quiñones F.,55603720100,9-s2.0-55603720100,,6,01/03/2013,46,46,3,30,update,"Agronomy and Crop Science, Ecology, Agricultural and Biological Sciences (miscellaneous), Parasitology, Soil Science, Animal Science and Zoology, Infectious Diseases, Plant Science, Ecology, Evolution, Behavior and Systematics, Insect Science",2012-2021,Wildlife Conservation Society,128813015,Colombian Program
Sandra Carlina Rivas-Zúñiga,Rivas-Zúñiga S.,57615554400,9-s2.0-57615554400,,1,30/04/2022,0,0,0,7,new,"Chemistry (all), Physics and Astronomy (all), History and Philosophy of Science, Mathematics (all), Agricultural and Biological Sciences (all), Energy (all), Biochemistry, Genetics and Molecular Biology (all), Earth and Planetary Sciences (all)",2022-2022,Universidad del Cauca,104717530,Department of Biology
Miguel Angel Niño-Zambrano,Niño-Zambrano M.,57041394700,9-s2.0-57041394700,0000-0002-5916-2552,10,14/01/2016,6,6,1,19,update,"Information Systems, Computer Science Applications, Computer Networks and Communications, Biochemistry, Genetics and Molecular Biology (all), Artificial Intelligence, Theoretical Computer Science, Modeling and Simulation, Media Technology, Building and Construction, Materials Science (all), Computer Science (all), Engineering (all)",2007-2020,Universidad del Cauca,60051434,
Jairo Jose Marin Arciniegas,Arciniegas J.,57220746189,9-s2.0-57220746189,,1,18/12/2020,1,1,1,3,new,"Information Systems and Management, Computer Science Applications, Control and Optimization, Computer Vision and Pattern Recognition, Artificial Intelligence, Decision Sciences (miscellaneous)",2020-2020,Universidad del Cauca,113958173,Instrumentación y Control
Carmen Lucía López-Solis,López-Solis C.,57220204929,9-s2.0-57220204929,,1,11/12/2020,0,0,0,4,new,"Energy (all), Chemistry (all), History and Philosophy of Science, Earth and Planetary Sciences (all), Biochemistry, Genetics and Molecular Biology (all), Physics and Astronomy (all), Mathematics (all), Agricultural and Biological Sciences (all)",2020-2020,Universidad del Cauca,104717528,Department of Chemistry
Marcelo Mamián,Mamián M.,33068097000,9-s2.0-33068097000,,2,30/08/2009,32,32,1,4,update,"Education, Electrochemistry",2009-2018,Universidad del Cauca,60051434,
Juan Fernando Flórez,Flórez J.,57211415366,9-s2.0-57211415366,0000-0003-1646-4419,4,28/10/2019,2,2,1,8,update,"Electrical and Electronic Engineering, Artificial Intelligence, Renewable Energy, Sustainability and the Environment, Energy Engineering and Power Technology, Computer Networks and Communications, Engineering (all), Control and Optimization, Control and Systems Engineering, Computer Science (all), Industrial and Manufacturing Engineering, Process Chemistry and Technology, Computer Science Applications",2018-2022,Universidad del Cauca,113958173,Instrumentación y Control
Juan Carlos Corrales-Muñoz,Corrales-Muñoz J.,57398490100,9-s2.0-57398490100,,1,11/01/2022,1,1,1,3,new,Engineering (all),2015-2015,Universidad del Cauca,60051434,
Héctor Samuel Villada-Castillo,Villada-Castillo H.,16040915900,9-s2.0-16040915900,0000-0002-5557-3215,52,24/03/2007,275,299,10,83,update,"Instrumentation, Agricultural and Biological Sciences (all), Molecular Biology, Global and Planetary Change, Waste Management and Disposal, Chemical Engineering (all), Fluid Flow and Transfer Processes, Safety, Risk, Reliability and Quality, Geography, Planning and Development, Food Science, Pharmacology, Toxicology and Pharmaceutics (miscellaneous), Computer Science (all), Strategy and Management, Polymers and Plastics, Materials Science (all), Public Health, Environmental and Occupational Health, Business and International Management, Building and Construction, Horticulture, Applied Microbiology and Biotechnology, Management of Technology and Innovation, Business, Management and Accounting (all), Organic Chemistry, Pollution, Energy (all), Multidisciplinary, Engineering (miscellaneous), Management Science and Operations Research, Education, Chemistry (all), Geotechnical Engineering and Engineering Geology, Biochemistry, Cultural Studies, Social Psychology, Process Chemistry and Technology, Management, Monitoring, Policy and Law, Engineering (all), Structural Biology, Biotechnology, Ecology, Agronomy and Crop Science, Computer Science Applications, Industrial and Manufacturing Engineering",2006-2022,Universidad del Cauca,60051434,
Jesús D. Cerón,Cerón J.,56245820900,9-s2.0-56245820900,0000-0001-7210-6312,14,16/07/2014,61,65,6,26,update,"Health Information Management, Biomedical Engineering, Nursing (all), Health Informatics, Medicine (all), Engineering (all), Instrumentation, Biochemistry, Information Systems, Electrical and Electronic Engineering, Atomic and Molecular Physics, and Optics, Cardiology and Cardiovascular Medicine, Analytical Chemistry, Computer Science (all)",2014-2022,"Universidad del Cauca, Friedrich-Alexander-Universität Erlangen-Nürnberg","104717554, 111435812","Telematics Department, Department of Computer Science"
Diana Catalina Cardona-Gómez,Cardona-Gómez D.,57200106795,9-s2.0-57200106795,,2,04/01/2018,1,1,1,13,update,Medicine (all),2017-2019,Hospital Susana López de Valencia,117723547,
Arciniegas Luis Arciniegas Herrera,Arciniegas Herrera A.,57210263521,9-s2.0-57210263521,,2,08/08/2019,2,2,1,6,update,"Information Systems, Fluid Flow and Transfer Processes, Computer Networks and Communications, Process Chemistry and Technology, Computer Science Applications, Instrumentation, Engineering (all), Materials Science (all)",2019-2022,Universidad del Cauca,104717554,Telematics Department
Diego Alberto Bravo Montenegro,Bravo Montenegro D.,57419358300,9-s2.0-57419358300,,1,26/01/2022,2,2,1,2,new,"Strategy and Management, Safety, Risk, Reliability and Quality, Industrial and Manufacturing Engineering",2022-2022,Universidad del Cauca,104717527,Department of Physics
Diana Duarte,Duarte D.,35072476300,9-s2.0-35072476300,,1,16/10/2009,13,13,1,5,update,Obstetrics and Gynecology,2009-2009,Universidad del Cauca,60051434,
Ángela M. Tobar,Tobar A.,56244699100,9-s2.0-56244699100,,2,16/07/2014,12,12,2,3,update,"Biomedical Engineering, Health Information Management, Health Informatics",2014-2017,Universidad del Cauca,104717554,Telematics Department
María Alejandra Landínez,Landínez M.,57215547073,9-s2.0-57215547073,,1,15/03/2020,1,1,1,2,new,"Electronic, Optical and Magnetic Materials, Computer Science Applications, Electrical and Electronic Engineering, Condensed Matter Physics, Applied Mathematics",2020-2020,Universidad del Cauca,104717554,Telematics Department
Liliana Yasiri Mosquera,Mosquera L.,57212484444,9-s2.0-57212484444,,2,27/12/2019,1,1,1,7,update,"Public Health, Environmental and Occupational Health",2019-2020,Secretaría Departamental de Salud del Cauca,127128201,
Marcela Velasco Granados,Velasco Granados M.,57225089969,9-s2.0-57225089969,,1,10/07/2021,11,11,1,4,new,"Management, Monitoring, Policy and Law, Law, Sociology and Political Science, Economics and Econometrics",2021-2021,Universidad del Cauca,104717528,Department of Chemistry
Olga Cujar-Otero,Cujar-Otero O.,57222088408,9-s2.0-57222088408,,1,02/03/2021,1,1,1,4,update,"Biochemistry, Genetics and Molecular Biology (all), Medicine (all)",2021-2021,Universidad del Cauca,104717536,Department of Pediatrics
Concha Agredo Eliana Andrea,Andrea C.,55332032700,9-s2.0-55332032700,,1,17/08/2012,0,0,0,2,update,Computer Networks and Communications,2012-2012,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
Richar Urbano-Muñoz,Urbano-Muñoz R.,56288294300,9-s2.0-56288294300,,1,04/08/2014,85,85,1,5,update,"Theoretical Computer Science, Software, Computer Science Applications, Control and Systems Engineering, Artificial Intelligence, Information Systems and Management",2014-2014,Universidad del Cauca,109529772,Sector Tulcán Office 422 FIET
Álvaro R. Restrepo-Garcés,Restrepo-Garcés Á.,57148483300,9-s2.0-57148483300,,4,11/03/2016,21,23,3,4,update,"Strategy and Management, Electrical and Electronic Engineering, Computer Science Applications, Geotechnical Engineering and Engineering Geology, Energy (all), Engineering (all), Food Science, Industrial and Manufacturing Engineering, Computer Science (all)",2016-2018,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones
Laura Cristina Carvajal Benítez,Benítez L.,57372044600,9-s2.0-57372044600,,1,18/12/2021,0,0,0,3,new,"Strategy and Management, Control and Systems Engineering, Management Science and Operations Research, Industrial and Manufacturing Engineering",2021-2021,Popayán University Foundation,127366305,Industrial Engineer and Master in Design and Management of Technological Projects
José Francisco Estupiñán González,González J.,58086843000,9-s2.0-58086843000,,1,06/02/2023,0,0,0,2,new,Medicine (all),2023-2023,Universidad del Cauca,60051434,
Humberto García,García H.,56120997500,9-s2.0-56120997500,,1,03/05/2014,3,3,1,3,update,"Mechanics of Materials, Materials Science (all), Mechanical Engineering",2014-2014,Universidad del Cauca,60051434,
Nayibe Salamanca R,Salamanca R N.,36470982200,9-s2.0-36470982200,,1,22/09/2010,2,2,1,2,update,"Critical Care and Intensive Care Medicine, Anesthesiology and Pain Medicine",2009-2009,Universidad del Cauca,109510232,Department of Anesthesiology
A. Solis,Solis A.,57524582800,9-s2.0-57524582800,0000-0003-3342-0776,2,25/03/2022,4,4,1,3,update,"Hardware and Architecture, Computer Networks and Communications, Electrical and Electronic Engineering, Computer Science (all), Signal Processing, Control and Systems Engineering",2020-2022,Universidad del Cauca,60051434,
Luis Gerardo Chilito López,López L.,57190435987,9-s2.0-57190435987,,1,07/08/2016,2,2,1,2,update,"Ecology, Evolution, Behavior and Systematics",2016-2016,Fundacion Universitaria de Popayán,118671343,Programa de Ecología
José Dulcey,Dulcey J.,6504213093,9-s2.0-6504213093,,1,02/12/2005,48,48,1,2,update,"Arts and Humanities (miscellaneous), Neurology (clinical)",1979-1979,Universidad del Cauca,60051434,
Jose Luiyi Plaza Arias,Arias J.,57256787300,9-s2.0-57256787300,,1,17/09/2021,0,0,0,1,update,"Computer Science (all), Mathematics (all)",2021-2021,Corporación Universitaria Comfacauca,126174357,
Lorena Galeazzi,Galeazzi L.,57204768709,9-s2.0-57204768709,,5,30/11/2018,5,5,2,10,update,"Mathematics (all), Control and Systems Engineering, Computer Science (all)",2018-2022,"Universidad Mayor, Universidad del Cauca","60005881, 60051434"," ,  "
Héctor Iván Guerrero Jiménez,Guerrero Jiménez H.,57218167227,9-s2.0-57218167227,,1,23/07/2020,3,3,1,2,update,"Linguistics and Language, Education, Language and Linguistics",2020-2020,"Fundación Universitaria María Cano, Universidad del Cauca","60189167, 60051434"," ,  "
Denis Gabriel Córdoba-Jiménez,Córdoba-Jiménez D.,57220204829,9-s2.0-57220204829,,1,11/12/2020,0,0,0,4,new,"Chemistry (all), History and Philosophy of Science, Biochemistry, Genetics and Molecular Biology (all), Mathematics (all), Physics and Astronomy (all), Energy (all), Earth and Planetary Sciences (all), Agricultural and Biological Sciences (all)",2020-2020,Universidad del Cauca,104717528,Department of Chemistry
María Verónica Fernández de Valdenebro,de Valdenebro M.,55312230300,9-s2.0-55312230300,,1,23/07/2012,2,2,1,4,update,"Building and Construction, Engineering (all)",2010-2010,Universidad del Cauca,60051434,
Diana María Chito-Trujillo,Chito-Trujillo D.,57563021000,9-s2.0-57563021000,,2,13/04/2022,1,1,1,6,update,"Nutrition and Dietetics, Food Science",2022-2022,Universidad del Cauca,125239658,Grupo de Investigación Biotecnología
Folleco Idrobo Diana Marcela,Marcela F.,55332162700,9-s2.0-55332162700,,1,17/08/2012,0,0,0,2,update,Computer Networks and Communications,2012-2012,Universidad del Cauca,104717561,Grupo de Ingeniería Telemática
Mauricio Maca,Maca M.,55839256700,9-s2.0-55839256700,,1,08/09/2013,0,0,0,4,update,"Theoretical Computer Science, Computer Science (all)",2013-2013,Universidad del Cauca,104717531,Department of Mathematics
Mónica Vanessa Mondragón Gaviria,Gaviria M.,17345504500,9-s2.0-17345504500,,5,03/08/2007,716,716,2,726,update,"Pulmonary and Respiratory Medicine, Oncology, Obstetrics and Gynecology, Rheumatology, Dermatology",2007-2020,Universidad del Cauca,60051434,
A. Luis Vásquez,Vásquez A.,57943709700,9-s2.0-57943709700,,1,02/11/2022,2,2,1,5,new,"Veterinary (all), Aquatic Science, Animal Science and Zoology",2018-2018,Universidad del Cauca,60051434,
Richard G. Shoemaker,Shoemaker R.,8941050200,9-s2.0-8941050200,,2,29/11/2005,17,18,2,9,update,"Medicine (all), Media Technology, Bioengineering, Nursing (all)",2005-2005,Universidad del Cauca,104717560,Department of Social Medicine and Family Health
Omar Andrés Ramos,Ramos O.,57193835882,9-s2.0-57193835882,0000-0002-1500-0973,5,15/04/2017,5,5,2,14,update,"Nutrition and Dietetics, Medicine (miscellaneous), Medicine (all), Physical Therapy, Sports Therapy and Rehabilitation",2016-2020,Universidad del Cauca,60051434,
Carol Viviana Paredes-Mondragón,Paredes-Mondragón C.,57200086152,9-s2.0-57200086152,,2,02/01/2018,5,5,1,8,update,"Health (social science), Medicine (all), Psychiatry and Mental Health",2019-2022,Universidad del Cauca,122436003,Departamento de Medicina Social y Salud Familiar
Francisco Enriquez,Enriquez F.,57222980553,9-s2.0-57222980553,,1,23/04/2021,1,1,1,2,new,"Electrical and Electronic Engineering, Computer Science (all)",2020-2020,Universidad del Cauca,60051434,
Sandra P. Godoy,Godoy S.,57214447711,9-s2.0-57214447711,,1,06/02/2020,1,1,1,2,new,"Business, Management and Accounting (all), Energy (all), Multidisciplinary, Materials Science (all), Industrial and Manufacturing Engineering, Computer Science (all), Agricultural and Biological Sciences (all), Computer Science Applications, Food Science, Chemistry (all), Strategy and Management, Geotechnical Engineering and Engineering Geology, Chemical Engineering (all)",2019-2019,Universidad del Cauca,104717562,Departamento de Agroindustria
L. F E Reyes-Carvajal,Reyes-Carvajal L.,55839342900,9-s2.0-55839342900,,1,08/09/2013,7,7,1,9,update,"Genetics (clinical), Genetics",2013-2013,Universidad del Cauca,104717530,Department of Biology
María Andrea Simmonds Tabbert,Tabbert M.,56074647400,9-s2.0-56074647400,,1,31/03/2014,0,0,0,1,update,Education,2013-2013,Universidad del Cauca,114276768,Departamento de Educación y Pedagogía
Andrés Felipe Liévano-Bonilla,Liévano-Bonilla A.,57201671829,9-s2.0-57201671829,,3,25/04/2018,0,0,0,8,update,"Animal Science and Zoology, Ecology, Evolution, Behavior and Systematics",2018-2023,"Fundación Ecohabitats, Universidad del Cauca","127190801, 104717549"," , Museo de Historia Natural"
Ricardo Camacho-Muñoz,Camacho-Muñoz R.,57219199398,9-s2.0-57219199398,,1,02/10/2020,16,16,1,2,update,"Biochemistry, Molecular Biology, Structural Biology",2020-2020,Universidad del Cauca,125166325,Department of Agro-industrial Engineering
Jonathan David Aguilar,Aguilar J.,58072046500,9-s2.0-58072046500,,1,30/01/2023,0,0,0,4,new,"Control and Optimization, Renewable Energy, Sustainability and the Environment, Energy Engineering and Power Technology, Computer Science Applications, Computer Networks and Communications, Process Chemistry and Technology, Industrial and Manufacturing Engineering, Artificial Intelligence",2022-2022,Universidad del Cauca,129104542,Ingeniería en Automática Industrial
Ivonne Alejandra Meza-Cabrera,Meza-Cabrera I.,55965730700,9-s2.0-55965730700,,5,28/12/2013,43,43,2,12,update,"Endocrinology, Diabetes and Metabolism, Endocrine and Autonomic Systems, Health, Toxicology and Mutagenesis, Medicine (all), Endocrinology, Toxicology",2013-2021,Universidad del Cauca,127170693,Compañía de Patólogos del Cauca
Maria Camila Cabanillas Cuadros,Cabanillas Cuadros M.,57219855454,9-s2.0-57219855454,,1,13/11/2020,0,0,0,5,new,"Pharmacology (medical), Pharmacology",2020-2020,Fundacion Universitaria de Popayán,60108709,
Gabriel Muñoz Samboni,Samboni G.,56595258000,9-s2.0-56595258000,,1,23/04/2015,1,1,1,2,update,"Computer Science (all), Control and Systems Engineering",2014-2014,Universidad del Cauca,114460865,Department of Systems Engineering
Ana M. Díaz,Díaz A.,57209267606,9-s2.0-57209267606,,2,17/06/2019,5,5,2,3,update,"Health Informatics, Pollution, Health Information Management, Biomedical Engineering, Health, Toxicology and Mutagenesis, Public Health, Environmental and Occupational Health",2019-2020,Universidad del Cauca,104717554,Telematics Department
Daniel Valencia,Valencia D.,57222981833,9-s2.0-57222981833,,1,23/04/2021,1,1,1,2,new,"Electrical and Electronic Engineering, Computer Science (all)",2020-2020,Universidad del Cauca,60051434,
C. Fabiola González,González C.,57944929100,9-s2.0-57944929100,,1,02/11/2022,2,2,1,5,new,"Animal Science and Zoology, Veterinary (all), Aquatic Science",2018-2018,Universidad del Cauca,60051434,
Maribel Díaz,Díaz M.,57214887131,9-s2.0-57214887131,,4,20/02/2020,2,2,1,4,update,"Algebra and Number Theory, Analysis, Mathematics (all), Geometry and Topology, Applied Mathematics",2020-2021,Universidad del Cauca,104717531,Department of Mathematics
Gaby Isabel Manzo Pantoja,Pantoja G.,57208391200,9-s2.0-57208391200,,1,30/04/2019,1,1,1,2,new,"Electrical and Electronic Engineering, Biomedical Engineering",2019-2019,Universidad del Cauca,60051434,
Yaneth Lorena Garcés-Burbano,Garcés-Burbano Y.,57250997600,9-s2.0-57250997600,,1,12/09/2021,0,0,0,5,new,Obstetrics and Gynecology,2021-2021,Universidad del Cauca,60051434,
Jaminton Zamir Zuñiga Galindez,Galindez J.,57487753000,9-s2.0-57487753000,,1,20/03/2022,4,4,1,4,new,"Biotechnology, Food Science",2022-2022,Universidad del Cauca,104717562,Departamento de Agroindustria
Yulieth Cristina Bermúdez Burbano,Burbano Y.,57210376348,9-s2.0-57210376348,,1,16/08/2019,0,0,0,8,update,"Microbiology (medical), Infectious Diseases, Parasitology",2019-2019,Universidad del Cauca,106615462,Department of Pathology
S. González P,González P S.,36634419500,9-s2.0-36634419500,,1,02/12/2010,21,21,1,2,update,Anatomy,2010-2010,Universidad del Cauca,104717553,Departamento de Morfología
José Antonio Gallo-Corredor,Gallo-Corredor J.,57224215916,9-s2.0-57224215916,,7,10/06/2021,27,30,3,15,update,"Waste Management and Disposal, Sociology and Political Science, Pollution, Economics and Econometrics, Agricultural and Biological Sciences (all), Engineering (all), Process Chemistry and Technology, Management, Monitoring, Policy and Law, Law, Multidisciplinary, Chemical Engineering (miscellaneous)",2021-2022,Universidad del Cauca,104717528,Department of Chemistry
