idgruplac,curso,fecha,acto,programa
00000000002157,Electiva - Optimización usando MetaHeuristicas,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Recuperación de Información,2014-12-01,7224,Doctorado en Ciencias de la Electrónica
00000000002157,Electiva: Web Semántica,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Electiva: Internet de las Cosas,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Electiva: Optimización multi y de muchos objetivos,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Electiva: Metodologías ágiles para la gestión de proyectos en el desarrollo de software,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Seminario de Investigación 1,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Seminario de Investigación 2,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Seminario de Investigación 3,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000002157,Seminario de Transferencia,2020-08-06,14594,Doctorado en Ciencias de la Computación
00000000007099,Espacios Funcionales con Orden no Entero de Suavidad I,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Espacios Lp,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Análisis Funcional,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Análisis Complejo,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Espacios de Sobolev,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Introducción a las variedades diferenciables,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Introducción al Análisis Funcional,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Introducción a la Teoría de las Funciones Generalizadas,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000007099,Teoría de la Medida e Integración,2016-04-12,027,Doctorado en Ciencias Matemáticas
00000000012079,DINÁMICA DE EMPAQUES BIODEGRADABLES EN ECOSISTEMAS,2013-04-23,020 2013,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIA
00000000012079,OPERACIONES AGROINDUSTRIALES,2013-04-23,020 2016,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIA
00000000012079,"Topicos Avanzados en Ciencias Ambientales III,Ambiente y Territorio",2016-05-05,BIO852,Doctorado en Ciencias Ambientales
00000000000316,Fortmación y subjetividad,2014-02-02,013,Doctorado en Ciencias de la Educación
00000000007952,Fundamentos Matemáticos,2015-05-14,Res 06905,Doctorado en Telemática
00000000007952,Curso Electivo de Investigación IV,2019-08-05,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Curso Electivo de Investigación I,2018-01-15,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Curso Electivo de Investigación III,2019-01-14,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Álgebra,2016-08-12,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Curso Electivo de Investigación II,2018-08-06,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Campos Finitos I,2016-08-12,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Campos Finitos II,2016-08-12,Res 16586,Doctorado en Ciencias Matemáticas
00000000007952,Teoría de Números Algebraica,2016-08-12,Res 16586,Doctorado en Ciencias Matemáticas
00000000016909,Planeación educativa y Diseño curricular,2019-11-07,CEU950620A,Doctorado en Educación
00000000022270,Electiva III: PROPUESTA DE INVESTIGACIÓN DOCTORAL COMO PROYECTO FINANCIABLE DE CTeI,2020-11-17,202010928,DOCTORADO EN ADMINISTRACIÓN DE NEGOCIOS
00000000002175,Seminario de Investigación,2007-02-26,Res 2595,Doctorado en Antropología
00000000002175,Seminario de Investigación,2012-01-16,Sem I - 12,Doctorado en Antropología
00000000000592,Seminario de Investigación 1,2014-04-14,5533,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES
00000000000592,Métodos cualitativos y cuantitativos de investigación,2014-04-14,5533,DOCTORADO EN CIENCIAS AGRARIAS Y AGROINDUSTRIALES
00000000002135,Electiva en Redacción de Artículos Científicos,2015-09-03,13806,Doctorado en Ciencias Ambientales
