idgruplac,programa,fecha,acto,institucion
00000000008153,Maestria en Ciencias: Quimica,1998-12-01,,Universidad de Caldas
00000000002192,Maestria estudios interdisciplinarios del desarrol,2009-12-14,RESOLUCION NUMERO 10089 DEL MINISTERIO DE EDUCACIO,Universidad del Cauca
00000000002192,Maestría en Contabilidad y Finanzas,2015-02-03,01332,Universidad del Cauca
00000000002192,Maestria estudios interdisciplinarios del desarrol,2014-03-05,Acuerdo Superior 017 de 2014 extensión de la MEID,Universidad de Nariño
00000000002192,Maestría en Gestión de Organizaciones y Proyectos,2014-07-18,"Código SNIES: 103477, Resolución No 11014 de julio",Universidad del Cauca
00000000012288,Maestría en Ética y Filosofía Política,2010-09-14,90695,Universidad del Cauca
00000000012288,Maestría en Educación,2013-08-08,90695,Universidad del Cauca
00000000012288,Maestría en Ciencias Humanas,2013-04-17,285,Universidad del Cauca
00000000002145,Maestría en Recursos Hidrobiológicos Continentales,1991-12-12,Acuerdo No. 298 de 1991,Universidad del Cauca
00000000002145,Maestría en Biología,2015-06-09,08328,Universidad del Cauca
00000000012834,Maestría en Ciencias Matemáticas,2009-11-18,Acuerdo No. 081,Universidad del Cauca
00000000002159,Maestría en Recursos Hidrobiológicos Continentales,1991-05-27,Resolución 084. Consejo Superior.Min Educación,Universidad del Cauca
00000000002159,Maestría en Biología,2015-06-09,08329,Universidad Del Cauca - Unicauca
00000000004672,Estudios Interdisciplinarios del desarrallo,2009-10-22,Resolucion 10089 Min educacion,Universidad del Cauca
00000000004672,Maestría en Gestión de Organizaciones y Proyectos,2014-07-14,11044,Universidad Del Cauca - Unicauca
00000000004672,Maestría en gestión de las organizaciones,2011-03-18,Resolución No. 2164,Universidad cooperativa de colombia
00000000004672,Maestría en Ética y Filosofía Política,2010-07-23,Resolución Registro Calificado 6432,Universidad del Cauca
00000000003792,Maestria en Computacion,2008-02-29,Resolucion 1125,Universidad del Cauca
00000000003792,Maestria en TICs,2012-07-05,111,Universidad Tecnológica de Panamá
00000000002157,Maestría en Ingeniería de Sistemas y Computación,2008-01-01,0000,Universidad del Norte
00000000002157,Maestria en Computacion,2007-10-02,067,Universidad del Cauca
00000000007099,Maestría en Ciencias Matemáticas,2009-06-21,Acuerdo 081 de 2009- Consejo Superior,Universidad del Cauca
00000000007099,Maestría en Ingeniería Física,2005-11-08,Acuerdo 083 del Consejo Superior,Universidad del Cauca
00000000012079,MAESTRIA EN CIENCIAS AGRARIAS Y AGROINDUSTRIA,2015-06-15,Resolución 09745,Universidad Del Cauca - Unicauca
00000000012079,Maestría en Ingeniería Ambiental,2019-05-22,ACUERDO SUPERIOR # 023 DE 22 DE MAYO DE 2019,Universidad del Cauca
00000000002142,Maestría en Recursos Hidrobiológicos Continentales,2015-11-15,04755,Universidad del Cauca
00000000002142,Maestría en Biología,2015-06-09,08328,Universidad Del Cauca - Unicauca
00000000001995,MAESTRIA EN DESARROLLO HUMANO Y SALUD,2019-11-27,ACUERDO 084 DE 2019,UNVERSIDAD DEL CAUCA
00000000002126,Maestría en Bioingeniería,2017-03-15,04682,Universidad del Cauca
00000000002126,Maestría en Ingeniería Física,2008-02-29,1126,Universidad Del Cauca - Unicauca
00000000000316,Maestría en Educación,2008-06-27,Acuerdo 048 de 2005,Universidad del Cauca
00000000000316,Maestría en Deporte y Actividad Física,2016-04-28,Resolución 08419,Universidad del Cauca
00000000000316,"Maestría en Educación, Estudios del cuerpo y la Motricidad",2015-03-13,03274,Universidad del Cauca
00000000000316,Maestria en Educación y Desarrollo humano,2013-08-23,Programación del programa,Universidad San Buenaventura de Cali
00000000000316,Maestría en educación física,2013-02-01,054,Universidad Surcolombiana
00000000007952,Maestría en Ciencias Matemáticas,2007-11-09,Resolucion No. 6822 MEN,Universidad Del Valle - Univalle
00000000007952,Maestría en Ciencias Matemáticas,2010-06-24,Resolucion No. 5119 MInisterio Educacion Nacional,Universidad del Cauca
00000000011727,Maestría en Estudios de Migración,2020-08-10,AE3023,Universidad Iberoamericana Ciudad de México
00000000011727,Maestría en Estudios sobre Migración,2019-08-08,677890,Universidad Iberoamericana Ciudad de México
00000000002175,Maestría en Turismo,2020-09-18,RESOLUCIÓN HCU-UEA-176-UEA-2020,Universidad Estatal Amazónica - Ecuador
00000000002175,Maestría en Antropología,2009-09-16,Código Snies: 54866 Resolución No 6472 del 16-9-09,Universidad del Cauca
00000000002129,Maestria en Ciencias Quimicas,2010-11-22,10202,Universidad del Cauca
00000000011867,Maestría en Artes integradas con el ambiente,2014-05-28,Acuerdo Superior 032,Universidad del Cauca
00000000011867,Maestría en Comunicación y Procesos Organizativos,2016-05-18,09480,Universidad del Cauca
00000000000592,Maestría en Gestión de Organizaciones y Proyectos,2014-07-14,11044 Registro Calificado,Universidad del Cauca
00000000000592,Maestría en Cooperación Internacional,2015-03-13,03280 Registro Calificado,Universidad del Cauca
00000000000592,MAESTRIA EN CIENCIAS AGRARIAS,2015-07-06,09745 Registro calificado,Universidad del Cauca
00000000000592,Maestría en Ciencias Agroindustriales,2014-12-03,Acuerdo 063 del Consejo Superior,Universidad del Cauca
00000000000592,Estudios Interdisciplinarios del Desarrollo,2009-12-29,Resolucion No. 10089- Ministerio Educacion Naciona,Universidad del Cauca
00000000002135,Maestría en Recursos Hidrobiológicos Continentales,1991-12-18,Acuerdo ICFES 298,Universidad del Cauca
00000000002135,Maestría en Biología,2015-06-09,Resolución número 08328 del MEN,Universidad del Cauca
00000000002161,Tesis para maestria- Ciencias Basicas Biomedicas,2006-11-24,Convenio Marco Cooperacion -Univalle- Unicauca,Universidad del Cauca
00000000002161,Especialización en Anatomía Patológica,1975-01-03,Acuerdo 03 de enero de 1975,Universidad del Cauca
00000000004650,MAESTRIA EN DESARROLLO HUMANO Y SALUD,2021-10-19,019531,Ministerio de Educación Nacional
00000000004650,Doctorado en Bioingenieria,2015-12-18,Acuerdo superior de diciembre de 2015,Universidad Del Cauca - Unicauca
00000000004650,"Maestría en Educación, Estudios del cuerpo y la Motricidad",2013-11-27,Acuerdo superior,Universidad Del Cauca - Unicauca
00000000004650,Maestría en Deporte y Actividad Física,2015-12-09,Acuerdo Superior 066 de 2015,Universidad Del Cauca - Unicauca
00000000008152,Maestria en Ciencias Quimicas,2010-11-22,Código SNIES 90909 Renovación 0955211Fecha11052017,Universidad del Cauca
00000000007141,MAESTRIA END ERECHOS HUMANOS Y POLÍTICAS PUBLICAS PARA LA CONVIENCIA,2014-07-22,Resolucion 11652 del M.E.N,Universidad del Cauca
00000000007141,MAESTRÍA EN FILOSOFÍA DEL DERECHO,2014-07-14,resolución 11047 M.E.N,Universidad del Cauca
00000000007141,Maestría en Ética y Filosofía Política,,,Universidad del Cauca
