nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
César A. Collazos,Collazos C.,8568805300,9-s2.0-8568805300,0000-0002-7099-8131,330,2005-11-29,1528,1881,21,355,update,"Mathematics (all);Modeling and Simulation;Decision Sciences (all);Electrical and Electronic Engineering;Analytical Chemistry;Psychology (all);Biochemistry;Materials Science (all);Process Chemistry and Technology;Artificial Intelligence;Media Technology;Management of Technology and Innovation;Engineering (all);Control and Systems Engineering;Computer Science (all);Social Sciences (all);Environmental Science (miscellaneous);Computer Science Applications;Management, Monitoring, Policy and Law;Biochemistry, Genetics and Molecular Biology (all);Instrumentation;Applied Mathematics;Strategy and Management;Engineering (miscellaneous);Computational Theory and Mathematics;Health Informatics;Environmental Engineering;Computer Science (miscellaneous);Biotechnology;Signal Processing;Human-Computer Interaction;Computer Graphics and Computer-Aided Design;Software;Information Systems;Computer Networks and Communications;Theoretical Computer Science;Renewable Energy, Sustainability and the Environment;Sociology and Political Science;Atomic and Molecular Physics, and Optics;Geography, Planning and Development;Computational Mathematics;Fluid Flow and Transfer Processes;Communication;Hardware and Architecture;Education;Computer Vision and Pattern Recognition;Chemical Engineering (all);Energy Engineering and Power Technology;Information Systems and Management;Law;Arts and Humanities (miscellaneous);Architecture",2000-2023,Universidad del Cauca,60051434,No Aplica,00000000003792;00000000002157,IDIS (Investigación y Desarrollo en Ingenieria del Software);Grupo I+D en Tecnologías de la Información,0000232122
Juan Carlos Corrales,Corrales J.,15135119500,9-s2.0-15135119500,0000-0002-5608-9097,116,2006-12-22,647,829,16,132,update,"Statistics, Probability and Uncertainty;Computer Science Applications;Management Information Systems;Biochemistry, Genetics and Molecular Biology (all);Agronomy and Crop Science;Modeling and Simulation;Analytical Chemistry;Renewable Energy, Sustainability and the Environment;Industrial and Manufacturing Engineering;Biochemistry;Atmospheric Science;Process Chemistry and Technology;Immunology and Microbiology (all);Aerospace Engineering;Mechanics of Materials;Earth-Surface Processes;Environmental Engineering;Management of Technology and Innovation;Information Systems;Materials Science (all);Building and Construction;Computer Vision and Pattern Recognition;Theoretical Computer Science;Electrical and Electronic Engineering;Strategy and Management;Water Science and Technology;Aquatic Science;Computers in Earth Sciences;Fluid Flow and Transfer Processes;Instrumentation;Statistics and Probability;Hardware and Architecture;Computer Science (all);Biomaterials;Forestry;Mathematics (all);Earth and Planetary Sciences (all);Computer Science (miscellaneous);Medicine (all);Control and Systems Engineering;Engineering (all);Signal Processing;Physics and Astronomy (miscellaneous);Management, Monitoring, Policy and Law;Management Science and Operations Research;Environmental Science (miscellaneous);Environmental Science (all);Energy Engineering and Power Technology;Artificial Intelligence;Pharmacology, Toxicology and Pharmaceutics (all);Human-Computer Interaction;Library and Information Sciences;Business, Management and Accounting (all);Software;Horticulture;Computer Networks and Communications;Control and Optimization;Business and International Management;Chemistry (miscellaneous);Geography, Planning and Development;Information Systems and Management;Atomic and Molecular Physics, and Optics;Safety, Risk, Reliability and Quality",2006-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000013021
Diego M. Lopez,Lopez D.,22941628100,9-s2.0-22941628100,0000-0001-9425-4375,96,2007-11-05,577,649,12,139,update,"Food Science;Psychiatry and Mental Health;Media Technology;Software;Mathematics (all);Biophysics;Bioengineering;Health Informatics;Advanced and Specialized Nursing;Nutrition and Dietetics;Applied Microbiology and Biotechnology;Computer Science (all);Artificial Intelligence;Cognitive Neuroscience;Condensed Matter Physics;Pollution;Instrumentation;Medicine (miscellaneous);Aquatic Science;Fluid Flow and Transfer Processes;Health, Toxicology and Mutagenesis;Information Systems;Electrical and Electronic Engineering;Theoretical Computer Science;Atomic and Molecular Physics, and Optics;Applied Mathematics;Multidisciplinary;Water Science and Technology;Geography, Planning and Development;Computer Science Applications;Materials Science (all);Cardiology and Cardiovascular Medicine;Analytical Chemistry;Process Chemistry and Technology;Biotechnology;Public Health, Environmental and Occupational Health;Electronic, Optical and Magnetic Materials;Engineering (all);Endocrinology, Diabetes and Metabolism;Medicine (all);Health Information Management;Biochemistry;Biomedical Engineering;Neurology;Nursing (all);Psychology (all)",2005-2022,Universidad del Cauca,104717554,Telematics Department,00000000008160,Grupo de Ingeniería Telemática,0000013064
J. E. Rodríguez-Páez,Rodríguez-Páez J.,6507572648,9-s2.0-6507572648,0000-0002-7694-6746,95,2005-12-03,1158,1288,18,151,update,"Energy (all);Organic Chemistry;Molecular Medicine;Earth and Planetary Sciences (all);Drug Discovery;Engineering (all);Metals and Alloys;Mechanical Engineering;Chemical Engineering (miscellaneous);Biochemistry;Analytical Chemistry;Waste Management and Disposal;Mathematics (all);Applied Microbiology and Biotechnology;Process Chemistry and Technology;Biotechnology;Chemical Engineering (all);Surfaces and Interfaces;Inorganic Chemistry;Multidisciplinary;Atomic and Molecular Physics, and Optics;Chemistry (miscellaneous);Physics and Astronomy (all);Materials Chemistry;Fluid Flow and Transfer Processes;Pharmaceutical Science;Industrial and Manufacturing Engineering;History and Philosophy of Science;Pollution;Surfaces, Coatings and Films;Materials Science (miscellaneous);Condensed Matter Physics;Catalysis;Electronic, Optical and Magnetic Materials;Materials Science (all);Chemistry (all);Agricultural and Biological Sciences (all);Agronomy and Crop Science;Colloid and Surface Chemistry;Cell Biology;Biochemistry, Genetics and Molecular Biology (all);Building and Construction;Ceramics and Composites;Mechanics of Materials;Physical and Theoretical Chemistry;Electrical and Electronic Engineering;Polymers and Plastics;Food Science;Bioengineering",2001-2023,Universidad del Cauca,60051434,No Aplica,00000000008155,CIENCIA Y TECNOLOGÍA DE MATERIALES CERAMICOS (CYTEMAC),0000192635
Gustavo Adolfo Ramírez-González,Ramírez-González G.,36603157500,9-s2.0-36603157500,0000-0002-1338-8820,76,2010-11-07,1976,2177,21,166,update,"Pharmacology, Toxicology and Pharmaceutics (all);Experimental and Cognitive Psychology;Energy Engineering and Power Technology;Library and Information Sciences;Condensed Matter Physics;Computer Science (miscellaneous);Biotechnology;Renewable Energy, Sustainability and the Environment;Signal Processing;Immunology and Microbiology (all);Physics and Astronomy (miscellaneous);Industrial and Manufacturing Engineering;Radiation;Structural Biology;Computer Science (all);Plant Science;Surgery;Biochemistry, Genetics and Molecular Biology (all);Instrumentation;Computational Theory and Mathematics;Materials Science (all);Geometry and Topology;Civil and Structural Engineering;Modeling and Simulation;Transportation;Building and Construction;Social Sciences (all);Computer Vision and Pattern Recognition;Electrical and Electronic Engineering;Information Systems;Theoretical Computer Science;Strategy and Management;Food Science;Applied Mathematics;Management Science and Operations Research;Mechanics of Materials;Artificial Intelligence;Health Informatics;Human-Computer Interaction;Software;Cognitive Neuroscience;Biomedical Engineering;Computer Science Applications;Mathematics (all);Analytical Chemistry;Process Chemistry and Technology;Environmental Science (miscellaneous);Biochemistry;Management, Monitoring, Policy and Law;Engineering (all);Control and Systems Engineering;Education;Communication;Molecular Biology;Medicine (all);Hardware and Architecture;Information Systems and Management;Biomaterials;Soil Science;Computer Networks and Communications;Urban Studies;Automotive Engineering;Atomic and Molecular Physics, and Optics;Geography, Planning and Development;Chemistry (miscellaneous);Environmental Science (all);Fluid Flow and Transfer Processes",2006-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000013056
Carlos Cobos,Cobos C.,6701647223,9-s2.0-6701647223,0000-0002-6263-1911,76,2005-12-03,516,602,12,105,update,"Materials Science (all);Computer Science Applications;Building and Construction;Control and Optimization;Modeling and Simulation;Social Sciences (miscellaneous);Hardware and Architecture;Management Information Systems;Biochemistry, Genetics and Molecular Biology (all);Computer Science (all);Artificial Intelligence;Theoretical Computer Science;Library and Information Sciences;Arts and Humanities (miscellaneous);Management Science and Operations Research;Control and Systems Engineering;Agricultural and Biological Sciences (all);Engineering (all);Information Systems;Multidisciplinary;Computational Mathematics;Media Technology;Psychology (miscellaneous);Business and International Management;Mathematics (all);Computer Vision and Pattern Recognition;Human-Computer Interaction;Software;Computational Theory and Mathematics;Developmental and Educational Psychology;Statistics, Probability and Uncertainty;Information Systems and Management;Electrical and Electronic Engineering;Computer Networks and Communications;Applied Mathematics",2007-2022,Universidad del Cauca,112027538,Department of Computer Science,00000000008160;00000000002157,Grupo de Ingeniería Telemática;Grupo I+D en Tecnologías de la Información,0000012386
Jose Andres Calvache,Calvache J.,57101084800,9-s2.0-57101084800,,75,2016-02-16,526,560,11,22670,update,"Microbiology (medical);Surgery;Pharmacology (medical);Radiology, Nuclear Medicine and Imaging;Health Policy;Anesthesiology and Pain Medicine;Internal Medicine;Multidisciplinary;Information Systems;Statistics, Probability and Uncertainty;Library and Information Sciences;Public Health, Environmental and Occupational Health;Obstetrics and Gynecology;Statistics and Probability;Orthopedics and Sports Medicine;Critical Care and Intensive Care Medicine;Cardiology and Cardiovascular Medicine;Computer Science Applications;Oncology;Health (social science);Pulmonary and Respiratory Medicine;Education;Clinical Biochemistry;Epidemiology;Infectious Diseases;Biochemistry;Pediatrics, Perinatology and Child Health;Leadership and Management;Medicine (all);Medicine (miscellaneous);Emergency Medicine",2006-2023,Universidad del Cauca;Erasmus MC,109510232;112286604,Department of Anesthesiology;Department of Anesthesiology,00000000000095;00000000010563,Lactancia materna y alimentación complementaria;Investigacion en Anestesiologia GRIAN,0000301876
Francisco J. Pino,Pino F.,57195195220,9-s2.0-57195195220,0000-0003-0668-4485,72,2017-07-31,693,1076,19,65,update,"Computer Networks and Communications;Computational Theory and Mathematics;Information Systems;Law;Computer Vision and Pattern Recognition;Mathematics (all);Media Technology;Human-Computer Interaction;Engineering (all);Computer Graphics and Computer-Aided Design;Theoretical Computer Science;Education;Engineering (miscellaneous);Applied Mathematics;Business, Management and Accounting (all);Artificial Intelligence;Computer Science (all);Computer Science Applications;Signal Processing;Software;Business and International Management;Hardware and Architecture;Information Systems and Management;Safety, Risk, Reliability and Quality;Electrical and Electronic Engineering;Strategy and Management",2006-2022,Universidad del Cauca,60051434,No Aplica,00000000015254;00000000003792;00000000002157,Grupo de Investigación SINERGIA;IDIS (Investigación y Desarrollo en Ingenieria del Software);Grupo I+D en Tecnologías de la Información,0000014010
José L. Arciniegas H.,Arciniegas H. J.,22333375600,9-s2.0-22333375600,0000-0002-1310-9123,68,2007-10-27,167,194,7,90,update,"Materials Science (all);Agricultural and Biological Sciences (all);Electrical and Electronic Engineering;Safety, Risk, Reliability and Quality;Education;Computer Science Applications;Civil and Structural Engineering;Hardware and Architecture;Social Sciences (miscellaneous);Building and Construction;Geotechnical Engineering and Engineering Geology;Business, Management and Accounting (all);Condensed Matter Physics;Software;Chemistry (all);Engineering (all);Control and Systems Engineering;Computer Science (all);Human-Computer Interaction;Strategy and Management;Media Technology;Multidisciplinary;Information Systems;Artificial Intelligence;Food Science;Industrial and Manufacturing Engineering;Computer Vision and Pattern Recognition;Computer Networks and Communications;Ceramics and Composites;Computational Theory and Mathematics;Theoretical Computer Science;Applied Mathematics;Biochemistry, Genetics and Molecular Biology (all);Mathematics (all);Information Systems and Management;Chemical Engineering (all);Energy (all)",2003-2022,Universidad del Cauca,104717552,Departamento de Telemática,00000000004638;00000000008160;00000000003792,"Biotecnología, Calidad Medioambiental y Seguridad Agroalimentaria (BICAMSA);Grupo de Ingeniería Telemática;IDIS (Investigación y Desarrollo en Ingenieria del Software)",0000012998
O. Caicedo,Caicedo O.,57214098924,9-s2.0-57214098924,0000-0003-2223-947X,64,2020-01-30,875,1005,11,101,update,"Communication;Instrumentation;Control and Systems Engineering;Information Systems and Management;Computer Science Applications;Immunology and Microbiology (all);Strategy and Management;Atomic and Molecular Physics, and Optics;Engineering (all);Fluid Flow and Transfer Processes;Control and Optimization;Materials Science (all);Information Systems;Computer Science (all);Horticulture;Software;Electrical and Electronic Engineering;Medicine (all);Artificial Intelligence;Pharmacology, Toxicology and Pharmaceutics (all);Computer Networks and Communications;Biochemistry;Safety, Risk, Reliability and Quality;Media Technology;Signal Processing;Process Chemistry and Technology;Forestry;Health Informatics;Hardware and Architecture;Analytical Chemistry;Mathematics (all);Agronomy and Crop Science;Biochemistry, Genetics and Molecular Biology (all)",2005-2023,Universidad del Cauca,60051434,No Aplica,00000000008160,Grupo de Ingeniería Telemática,0000352683
César Jesús Pardo-Calvache,Pardo-Calvache C.,57224970103,9-s2.0-57224970103,0000-0002-6907-2905,60,2021-07-02,276,409,10,70,update,"Computational Theory and Mathematics;Law;Information Systems and Management;Strategy and Management;Control and Systems Engineering;Tourism, Leisure and Hospitality Management;Computer Science Applications;Software;Industrial and Manufacturing Engineering;Health (social science);Engineering (all);Agricultural and Biological Sciences (all);Hardware and Architecture;Signal Processing;Biomedical Engineering;Computer Science (miscellaneous);Mathematics (all);Human-Computer Interaction;Health Informatics;Computer Science (all);Economics, Econometrics and Finance (miscellaneous);Architecture;Business, Management and Accounting (all);Computer Graphics and Computer-Aided Design;Applied Mathematics;Artificial Intelligence;Education;Theoretical Computer Science;Electrical and Electronic Engineering;Computer Networks and Communications;Statistics, Probability and Uncertainty;Information Systems;Business and International Management;Computer Vision and Pattern Recognition;Management of Technology and Innovation",2007-2023,Universidad del Cauca,60051434,No Aplica,00000000003792;00000000002157,IDIS (Investigación y Desarrollo en Ingenieria del Software);Grupo I+D en Tecnologías de la Información,0000892980
Julio Ariel Hurtado Alegría,Hurtado Alegría J.,54405537300,9-s2.0-54405537300,0000-0002-2508-0962,56,2011-12-07,231,276,9,76,update,"Industrial and Manufacturing Engineering;Computer Networks and Communications;Bioengineering;Urban Studies;Information Systems;Fluid Flow and Transfer Processes;Control and Systems Engineering;Engineering (all);Business, Management and Accounting (all);Human-Computer Interaction;Computer Science (all);Artificial Intelligence;Computer Vision and Pattern Recognition;Modeling and Simulation;Software;Materials Science (all);Computer Science Applications;Process Chemistry and Technology;Signal Processing;Safety, Risk, Reliability and Quality;Theoretical Computer Science;Electrical and Electronic Engineering;Education;Instrumentation;Information Systems and Management;Transportation;Law;Biomedical Engineering;Hardware and Architecture;Biotechnology;Mathematics (all);Applied Microbiology and Biotechnology",2006-2023,Universidad del Cauca,60051434,No Aplica,,,
Héctor Samuel Villada-Castillo,Villada-Castillo H.,16040915900,9-s2.0-16040915900,0000-0002-5557-3215,52,2007-03-24,283,307,10,83,update,"Instrumentation;Agricultural and Biological Sciences (all);Molecular Biology;Global and Planetary Change;Waste Management and Disposal;Chemical Engineering (all);Fluid Flow and Transfer Processes;Safety, Risk, Reliability and Quality;Geography, Planning and Development;Food Science;Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Computer Science (all);Strategy and Management;Polymers and Plastics;Materials Science (all);Public Health, Environmental and Occupational Health;Business and International Management;Building and Construction;Horticulture;Applied Microbiology and Biotechnology;Management of Technology and Innovation;Business, Management and Accounting (all);Organic Chemistry;Pollution;Energy (all);Multidisciplinary;Engineering (miscellaneous);Management Science and Operations Research;Education;Chemistry (all);Geotechnical Engineering and Engineering Geology;Biochemistry;Cultural Studies;Social Psychology;Process Chemistry and Technology;Management, Monitoring, Policy and Law;Engineering (all);Structural Biology;Biotechnology;Ecology;Agronomy and Crop Science;Computer Science Applications;Industrial and Manufacturing Engineering",2006-2022,Universidad del Cauca,60051434,No Aplica,00000000004638;00000000003965;00000000002146;00000000022270,"Biotecnología, Calidad Medioambiental y Seguridad Agroalimentaria (BICAMSA);Ciencia y Tecnología de Biomoléculas de Interés Agroindustrial - CYTBIA;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;AGRO360",0000374156
Maximiliano Bueno-López,Bueno-López M.,57209179810,9-s2.0-57209179810,0000-0002-7959-9962,50,2019-06-11,220,250,9,66,update,"Health (social science);Automotive Engineering;Cellular and Molecular Neuroscience;Safety, Risk, Reliability and Quality;Modeling and Simulation;Public Health, Environmental and Occupational Health;Applied Mathematics;Energy Engineering and Power Technology;Sensory Systems;Computer Science Applications;Safety Research;Renewable Energy, Sustainability and the Environment;Theoretical Computer Science;Engineering (miscellaneous);Pollution;Neuroscience (all);Control and Systems Engineering;Mathematics (all);Computer Networks and Communications;Cognitive Neuroscience;Information Systems;Fuel Technology;Computer Science (all);Agricultural and Biological Sciences (miscellaneous);Biomedical Engineering;Software;Industrial and Manufacturing Engineering;Computer Vision and Pattern Recognition;Social Sciences (all);Electrical and Electronic Engineering;Mechanical Engineering;Decision Sciences (miscellaneous);Control and Optimization;Engineering (all);Energy (miscellaneous);Artificial Intelligence",2008-2022,Universidad del Cauca,60051434,No Aplica,00000000000694,Grupo de Investigación en Automática,0000722960
Carlos Hernán Sierra-Tórres,Sierra-Tórres C.,6603080549,9-s2.0-6603080549,0000-0002-4160-9555,49,2005-12-01,945,1074,17,98,update,"Environmental Chemistry;Biochemistry, Genetics and Molecular Biology (all);Health Policy;Public Health, Environmental and Occupational Health;Waste Management and Disposal;Health Information Management;Molecular Biology;Endocrinology, Diabetes and Metabolism;Medicine (all);Pathology and Forensic Medicine;Obstetrics and Gynecology;Hepatology;Endocrinology;Pharmacology (medical);Biomedical Engineering;Biotechnology;Applied Microbiology and Biotechnology;Microbiology (medical);Toxicology;Epidemiology;Cancer Research;Genetics (clinical);Genetics;Pharmacology, Toxicology and Pharmaceutics (all);Health Informatics;Gastroenterology;Water Science and Technology;Environmental Science (all);Cardiology and Cardiovascular Medicine;Infectious Diseases;Geography, Planning and Development;Oncology;Health, Toxicology and Mutagenesis",1998-2022,Universidad del Cauca,60051434,No Aplica,00000000020815;00000000002140,Grupo de Investigación Fundación InnovaGen;Grupo de Investigación en Genética Humana Aplicada - GIGHA,0000011410
Hugo Ordòñez,Ordòñez H.,56203696300,9-s2.0-56203696300,0000-0002-3465-5617,47,2014-06-24,124,141,7,60,update,"Psychology (miscellaneous);Multidisciplinary;Business and International Management;Renewable Energy, Sustainability and the Environment;Computer Vision and Pattern Recognition;Mathematics (all);Software;Human-Computer Interaction;Artificial Intelligence;Engineering (miscellaneous);Energy Engineering and Power Technology;Information Systems and Management;Theoretical Computer Science;Electrical and Electronic Engineering;Information Systems;Safety, Risk, Reliability and Quality;Computer Networks and Communications;Signal Processing;Control and Optimization;Management Information Systems;Social Sciences (miscellaneous);Modeling and Simulation;Hardware and Architecture;Arts and Humanities (miscellaneous);Energy (miscellaneous);Engineering (all);Education;Computer Science (all);Control and Systems Engineering;Fuel Technology;Computer Science Applications",2014-2022,Universidad del Cauca,60051434,No Aplica,00000000002157,Grupo I+D en Tecnologías de la Información,0000921220
José Fernando Solanilla Duque,Solanilla Duque J.,56010510500,9-s2.0-56010510500,0000-0001-6664-9134,44,2014-02-09,475,516,9,86,update,"Agronomy and Crop Science;Engineering (all);Molecular Biology;Biotechnology;Public Health, Environmental and Occupational Health;Polymers and Plastics;Biophysics;Building and Construction;Materials Science (all);Engineering (miscellaneous);Pharmacology, Toxicology and Pharmaceutics (miscellaneous);Materials Chemistry;Health Professions  (miscellaneous);Pollution;Biochemistry, Genetics and Molecular Biology (miscellaneous);Organic Chemistry;Animal Science and Zoology;Microbiology;Food Science;Agricultural and Biological Sciences (miscellaneous);Horticulture;Ecology;Agricultural and Biological Sciences (all);Analytical Chemistry;Management, Monitoring, Policy and Law;Biochemistry;Applied Microbiology and Biotechnology;Pharmacology;Health (social science);Structural Biology;Forestry;Environmental Science (miscellaneous);Industrial and Manufacturing Engineering;Global and Planetary Change;Waste Management and Disposal;Plant Science;Drug Discovery",2011-2023,Universidad del Cauca,60051434,No Aplica,00000000003965;00000000002146;00000000007276,Ciencia y Tecnología de Biomoléculas de Interés Agroindustrial - CYTBIA;APROVECHAMIENTO DE SUBPRODUCTOS AGROINDUSTRIALES;Grupo de investigación en ingeniería de producto y procesos agroindustriales - GIPA,0000373770
Jhon Jairo Bravo,Bravo J.,55567562300,9-s2.0-55567562300,,44,2013-02-01,208,410,11,16,update,Mathematics (all);Control and Optimization;Mathematics (miscellaneous);Applied Mathematics;Geometry and Topology;Engineering (miscellaneous);Numerical Analysis;Discrete Mathematics and Combinatorics;Computer Science (miscellaneous);Algebra and Number Theory;Analysis,2013-2022,Universidad del Cauca,104717531,Department of Mathematics,00000000008150;00000000007952,"Álgebra, Teoría de Números y Aplicaciones: ERM;MATEMÁTICA DISCRETA Y APLICACIONES: ERM (MATDIS)",0001133721
Carlos Felipe Rengifo Rodas,Rengifo Rodas C.,55216602900,9-s2.0-55216602900,0000-0002-0601-3481,44,2012-05-22,124,142,6,47,update,"Industrial and Manufacturing Engineering;Mathematics (all);Software;Management, Monitoring, Policy and Law;Multidisciplinary;Bioengineering;Control and Systems Engineering;Physics and Astronomy (all);Geography, Planning and Development;Environmental Science (miscellaneous);Strategy and Management;Artificial Intelligence;Engineering (all);Mechanical Engineering;Civil and Structural Engineering;Computer Networks and Communications;Physiology (medical);Computer Science (all);Computer Vision and Pattern Recognition;Computer Science (miscellaneous);Control and Optimization;Modeling and Simulation;Electrical and Electronic Engineering;Hardware and Architecture;Medicine (all);Process Chemistry and Technology;Energy Engineering and Power Technology;Education;Environmental Science (all);Instrumentation;Nursing (all);Mechanics of Materials;Biomedical Engineering;Energy (all);Computer Science Applications;Signal Processing;Renewable Energy, Sustainability and the Environment",2008-2023,Universidad del Cauca,60051434,No Aplica,00000000000694,Grupo de Investigación en Automática,0000376256
Martha Eliana Mendoza,Mendoza M.,35836267800,9-s2.0-35836267800,0000-0003-4033-2934,39,2010-05-01,397,452,10,66,update,"Computer Science Applications;Materials Science (all);Information Systems;Media Technology;Management Information Systems;Building and Construction;Biochemistry, Genetics and Molecular Biology (all);Arts and Humanities (miscellaneous);Software;Theoretical Computer Science;Developmental and Educational Psychology;Information Systems and Management;Computational Theory and Mathematics;Management Science and Operations Research;Artificial Intelligence;Library and Information Sciences;Engineering (all);Computer Networks and Communications;Control and Systems Engineering;Applied Mathematics;Computer Science (all)",2005-2020,Universidad del Cauca,104717544,Department of Systems,00000000008160;00000000002157,Grupo de Ingeniería Telemática;Grupo I+D en Tecnologías de la Información,0000012378
Carolina Gonzalez,Gonzalez C.,13104340800,9-s2.0-13104340800,,38,2006-05-23,175,182,6,37,update,"Biotechnology;Applied Microbiology and Biotechnology;Computer Science (all);Modeling and Simulation;Engineering (all);Biochemistry, Genetics and Molecular Biology (all);Health Informatics;Biomedical Engineering;Theoretical Computer Science;Education;Software;Media Technology;Bioengineering;Computer Science Applications;Health Information Management;Biophysics",2004-2021,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
Rubiel Vargas Canas,Vargas Canas R.,35753897400,9-s2.0-35753897400,0000-0003-1548-942X,37,2010-04-09,105,108,6,44,update,"Nursing (all);Neurology;Instrumentation;Computational Theory and Mathematics;Mechanical Engineering;Medicine (all);Information Systems;Geography, Planning and Development;Computer Networks and Communications;Information Systems and Management;Fluid Flow and Transfer Processes;Endocrinology, Diabetes and Metabolism;Physiology;Engineering (all);Aquatic Science;Physics and Astronomy (all);Signal Processing;Computer Science Applications;Agricultural and Biological Sciences (all);Process Chemistry and Technology;Cognitive Neuroscience;Health Information Management;Biochemistry, Genetics and Molecular Biology (all);Biomedical Engineering;Mathematics (all);Theoretical Computer Science;Energy (all);Nutrition and Dietetics;Chemistry (all);Water Science and Technology;Health Informatics;Biochemistry;Bioengineering;Multidisciplinary;Computer Vision and Pattern Recognition;Materials Science (all);Public Health, Environmental and Occupational Health;Earth and Planetary Sciences (all);Food Science;History and Philosophy of Science;Artificial Intelligence;Physiology (medical);Building and Construction;Software;Computer Science (all)",2009-2022,Universidad del Cauca,60051434,No Aplica,00000000010009,"Grupo de Investigación en Sistemas Dinámicos, Instrumentación y Control",0000411914
Apolinar Figueroa,Figueroa A.,56419849400,9-s2.0-56419849400,0000-0003-3586-8187,36,2014-11-28,308,348,9,72,update,"Computer Vision and Pattern Recognition;Management of Technology and Innovation;Renewable Energy, Sustainability and the Environment;Computer Science (all);History and Philosophy of Science;Industrial and Manufacturing Engineering;Geography, Planning and Development;Statistics, Probability and Uncertainty;Pollution;Information Systems;Strategy and Management;Physics and Astronomy (all);Energy Engineering and Power Technology;Environmental Science (all);Earth and Planetary Sciences (miscellaneous);Insect Science;Biochemistry, Genetics and Molecular Biology (all);Agronomy and Crop Science;Computational Theory and Mathematics;Microbiology;Management Information Systems;Environmental Chemistry;Computer Science Applications;Earth-Surface Processes;Control and Systems Engineering;Engineering (all);Biochemistry;Management Science and Operations Research;Waste Management and Disposal;Management, Monitoring, Policy and Law;Earth and Planetary Sciences (all);Mathematics (all);Multidisciplinary;Environmental Science (miscellaneous);Computers in Earth Sciences;Soil Science;Business and International Management;Computer Networks and Communications;Aquatic Science;Theoretical Computer Science;Energy (all);Environmental Engineering;Information Systems and Management;Instrumentation;Hardware and Architecture;Nature and Landscape Conservation;Forestry;Modeling and Simulation;Computer Science (miscellaneous);Signal Processing;Materials Science (all);Water Science and Technology;Chemistry (all);Agricultural and Biological Sciences (all);Education;Atmospheric Science",2011-2023,Universidad del Cauca,60051434,No Aplica,00000000008159,Grupo de Estudios Ambientales,0000012467
Oscar Andrés Vivas-Albán,Vivas-Albán O.,55664634200,9-s2.0-55664634200,0000-0001-5381-8234,36,2013-05-09,258,294,8,52,update,"Engineering (all);Radiology, Nuclear Medicine and Imaging;Mechanical Engineering;Biomaterials;Mathematics (all);Health Information Management;Software;Building and Construction;Computer Vision and Pattern Recognition;Health Informatics;Information Systems and Management;Medicine (miscellaneous);Computer Science (all);Electrical and Electronic Engineering;Safety, Risk, Reliability and Quality;Computer Graphics and Computer-Aided Design;Artificial Intelligence;Human-Computer Interaction;Biomedical Engineering;Control and Optimization;Chemical Health and Safety;Decision Sciences (miscellaneous);Computer Science (miscellaneous);Computer Science Applications;Control and Systems Engineering;Industrial and Manufacturing Engineering;Signal Processing",2003-2022,Universidad del Cauca,60051434,No Aplica,,,
Armando Ordóñez,Ordóñez A.,55783147700,9-s2.0-55783147700,0000-0001-6544-0283,35,2013-07-11,134,170,8,47,update,"Information Systems and Management;Mechanical Engineering;Instrumentation;Management Information Systems;Analytical Chemistry;Building and Construction;Control and Optimization;Computer Science (miscellaneous);Modeling and Simulation;Hardware and Architecture;Process Chemistry and Technology;Computer Science Applications;Engineering (all);Control and Systems Engineering;Education;Biochemistry;Artificial Intelligence;Software;Computer Science (all);Energy (all);Computer Networks and Communications;Business and International Management;Materials Science (all);Information Systems;Theoretical Computer Science;Fluid Flow and Transfer Processes;Atomic and Molecular Physics, and Optics;Electrical and Electronic Engineering",2012-2022,Fundación Universitaria de Popayán,60108709,No Aplica,00000000015675;00000000008160;00000000007827,intelligent management systems;Grupo de Ingeniería Telemática;LOGICIEL,0000876569
