nombre,nombre_index,autor_id,eid,orcid,documentos,fecha_creacion,documentos_citados,citaciones,h_index,co_autores,estado,areas,rango_publicacion,institucion,affil_id,departamento,idgruplac,nombre_grupo,idcvlac
Andrea Pabón,Pabón A.,57614069200,9-s2.0-57614069200,,1,2022-04-30,0,0,0,4,update,"Rehabilitation;Computer Science Applications;Health (social science);Public Health, Environmental and Occupational Health",2022-2022,Universidad del Cauca,118358355,Grupo de investigación en Inteligencia Computacional,,,
Miguel Alexis Solano-Jiménez,Solano-Jiménez M.,57224981665,9-s2.0-57224981665,,1,2021-07-02,0,0,0,3,new,Engineering (all),2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Marco Villota-Rivillas,Villota-Rivillas M.,58029153000,9-s2.0-58029153000,,1,2022-12-31,0,0,0,2,new,Computer Science (all);Engineering (all);Agricultural and Biological Sciences (all),2022-2022,Corporación Universitaria Comfacauca,129011679,Department of Engineering,,,
O. Juan Sebastián Páez,Juan Sebastián Páez O.,57215094533,9-s2.0-57215094533,,1,2020-03-03,0,0,0,3,update,Computer Networks and Communications;Information Systems;Computer Science Applications;Health Informatics,2019-2019,Fundación Universitaria de Popayán,127082082,Department of Systems Engineering,,,
Ivonne Muñoz,Muñoz I.,57201017117,9-s2.0-57201017117,,1,2018-03-10,0,0,0,6,new,"Pediatrics, Perinatology and Child Health",2015-2015,Universidad del Cauca,104717536,Department of Pediatrics,,,
J. Carvajal,Carvajal J.,57197318388,9-s2.0-57197318388,,1,2017-11-20,0,0,0,1,new,Animal Science and Zoology,2008-2008,Universidad del Cauca,60051434,No Aplica,,,
Johann Smith Cerón Arias,Arias J.,55293264900,9-s2.0-55293264900,,1,2012-07-17,0,0,0,1,update,Medicine (all),2012-2012,Universidad del Cauca,109730944,Intensive Care Unit,,,
Gersain Medina-Yara,Medina-Yara G.,57229973000,9-s2.0-57229973000,,1,2021-09-01,0,0,0,3,new,Agronomy and Crop Science;Plant Science;Animal Science and Zoology;Environmental Science (all),2021-2021,Asociación Campesina de Inzá Tierradentro (ACIT),126777846,No Aplica,,,
M. I. de Bravo,de Bravo M.,6602709580,9-s2.0-6602709580,,1,2005-12-02,0,0,0,2,update,Obstetrics and Gynecology,1995-1995,Universidad del Cauca,104717557,Depto de Patologia,,,
Edgar Alfonso Castro Franco,Castro Franco E.,57226754935,9-s2.0-57226754935,,1,2021-08-19,0,0,0,10,update,Medicine (all);Rheumatology,2021-2022,Universidad del Cauca,104717560,Department of Social Medicine and Family Health,,,
Jhonattan Solarte-Martinez,Solarte-Martinez J.,57211907975,9-s2.0-57211907975,,1,2019-11-26,0,0,0,2,new,Computer Science (all),2019-2019,Universidad del Cauca,121998203,Grupo de I+D en Tecnologías de la Información (GTI),,,
Diego Antonio Legarda,Legarda D.,57422277200,9-s2.0-57422277200,,1,2022-01-28,0,0,0,3,new,Computer Vision and Pattern Recognition;Instrumentation;Signal Processing,2021-2021,Corporación Universitaria Comfacauca,127616321,Departamento de Ingenieria Mecatrónica,,,
Clara Milena Concha Lozada,Lozada C.,57224165028,9-s2.0-57224165028,,1,2021-06-08,0,0,0,3,update,"Development;Demography;Geography, Planning and Development",2021-2021,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,,,
Maria E. Solís,Solís M.,55837160400,9-s2.0-55837160400,,1,2013-09-06,0,0,0,3,new,Software,2007-2007,Universidad del Cauca,107923473,Grupo IDIS,,,
Pablo Emilio Jojoa Gomez,Jojoa Gomez P.,57918520200,9-s2.0-57918520200,,1,2022-10-15,0,0,0,2,new,Electrical and Electronic Engineering;Computer Science (all),2022-2022,Universidad del Cauca,108218057,Facultad de Ingeniería Electrónica y Telecomunicaciones,,,
M. M. Benavides-Ruiz,Benavides-Ruiz M.,58186582600,9-s2.0-58186582600,,1,2023-04-22,0,0,0,3,new,"Public Health, Environmental and Occupational Health;Family Practice",2023-2023,Universidad del Cauca,122436003,Departamento de Medicina Social y Salud Familiar,,,
John Jader Núñez Enríquez,Enríquez J.,57219605728,9-s2.0-57219605728,,1,2020-10-31,0,0,0,5,new,Anesthesiology and Pain Medicine,2020-2020,Hospital Universitario San José,101775869,No Aplica,,,
Irene Erazo,Erazo I.,57219723975,9-s2.0-57219723975,,1,2020-11-07,0,0,0,2,new,Mathematics (all),2019-2019,Universidad del Cauca,104717531,Department of Mathematics,,,
Diana Marcela Montaño,Montaño D.,57205702029,9-s2.0-57205702029,,1,2019-02-12,0,0,0,3,update,Computer Science (all),2019-2019,Institución Universitaria Colegio Mayor del Cauca,122139041,Facultad de Ingeniería,,,
Franklin E. Navia-Urbano,Navia-Urbano F.,57184369500,9-s2.0-57184369500,,1,2016-03-27,0,0,0,3,update,Computer Networks and Communications;Software,2015-2015,Universidad del Cauca,105501700,Telematics Engineering Research Group,,,
Magniven Mamian,Mamian M.,57222137539,9-s2.0-57222137539,,1,2021-03-03,0,0,0,4,new,Computer Science (all),2020-2020,Fundación Universitaria de Popayán,118671342,Intelligent Management Systems,,,
Carmen Gómez Correa,Correa C.,57576157900,9-s2.0-57576157900,,1,2022-04-21,0,0,0,4,new,Infectious Diseases;Parasitology,2021-2021,Secretaría Departamental de Salud del Cauca,127128201,No Aplica,,,
Eider Mauricio Idrobo Munoz,Munoz E.,57215316905,9-s2.0-57215316905,,1,2020-03-08,0,0,0,3,new,"Renewable Energy, Sustainability and the Environment;Electronic, Optical and Magnetic Materials;Ecology;Energy Engineering and Power Technology;Metals and Alloys;Electrical and Electronic Engineering;Surfaces, Coatings and Films;Agronomy and Crop Science",2019-2019,Fundación Universitaria de Popayán,123794581,Ingeniería Industrial,,,
Gonzalo Mauricio Jaramillo H,Jaramillo H G.,57188584014,9-s2.0-57188584014,,1,2016-04-10,0,0,0,3,update,"Applied Microbiology and Biotechnology;Bioengineering;Food Science;Pharmacology, Toxicology and Pharmaceutics (all);Biotechnology",2016-2016,Universidad del Cauca,60051434,No Aplica,,,
Lía Jasmín Jiménez Ramírez,Ramírez L.,58136359900,9-s2.0-58136359900,,1,2023-03-18,0,0,0,5,new,Orthopedics and Sports Medicine;Critical Care and Intensive Care Medicine;Emergency Medicine,2023-2023,Hospital Universitario San José,129283524,Division of General Surgery,,,
Miguel Morcillo,Morcillo M.,57222141034,9-s2.0-57222141034,,1,2021-03-03,0,0,0,2,new,Computer Science (all),2020-2020,Universidad del Cauca,122801626,Grupo de Investigación GTI,,,
Luis German Gómez,Gómez L.,58089895200,9-s2.0-58089895200,,1,2023-02-09,0,0,0,6,new,"Animal Science and Zoology;Ecology, Evolution, Behavior and Systematics",2022-2022,Universidad del Cauca;Asociación Ornitológica del Cauca;Asociación Colombiana de Ornitología – ACO;Universidad del Cauca,110043908;129147694;126715744;104717549,Exactas y de la Educación; ; ;Museo de Historia Natural,,,
Alejandro Figueroa-Benitez,Figueroa-Benitez A.,58138508000,9-s2.0-58138508000,,1,2023-03-19,0,0,0,3,new,Water Science and Technology,2023-2023,Universidad del Cauca,60051434,No Aplica,,,
Susana Molano,Molano S.,57226286930,9-s2.0-57226286930,,1,2021-08-01,0,0,0,1,new,Computer Science (all);Electrical and Electronic Engineering,2021-2021,Universidad del Cauca,126629118,Departamento de Teleco-municaciones de la,,,
Santiago Eduardo Pabón-Guerrero,Pabón-Guerrero S.,57225045712,9-s2.0-57225045712,,1,2021-07-08,0,0,0,3,new,Engineering (all),2021-2021,Universidad del Cauca,104717528,Department of Chemistry,,,
Claudia F.R. Villaquirán,Villaquirán C.,6506677086,9-s2.0-6506677086,,1,2005-12-02,0,0,0,4,update,Materials Science (all);Industrial and Manufacturing Engineering,2016-2016,Universidad del Cauca,104717550,Grupo de Ciencia y Tecnología de Materiales Cerámicos (CYTEMAC),,,
D. Bennett,Bennett D.,57187610200,9-s2.0-57187610200,,1,2016-03-30,0,0,0,2,update,Business and International Management;Economics and Econometrics,2014-2014,Universidad del Cauca,60051434,No Aplica,,,
Wilfred Rivera Martínez,Martínez W.,57197760358,9-s2.0-57197760358,,1,2017-11-25,0,0,0,2,update,Computer Science (all);Control and Systems Engineering,2018-2018,Corporación Universitaria Autónoma del Cauca,60276620,No Aplica,,,
Anyi Girón,Girón A.,57578699700,9-s2.0-57578699700,,1,2022-04-22,0,0,0,2,new,Mathematical Physics;Electrical and Electronic Engineering;Physics and Astronomy (all);Physics and Astronomy (miscellaneous);Information Systems,2022-2022,Universidad del Cauca,109856659,Department of Telecommunications,,,
Jorge A. Herrera,Herrera J.,57224509960,9-s2.0-57224509960,,1,2021-06-17,0,0,0,3,new,Surgery,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
Francisco Javier Bedoya-Rodríguez,Bedoya-Rodríguez F.,57271177300,9-s2.0-57271177300,,1,2021-09-29,0,0,0,2,update,"Insect Science;Ecology, Evolution, Behavior and Systematics",2021-2021,Universidad Santiago de Cali;Fundación Universitaria de Popayán,126949368;126949502,Masters in Environmental Education and Sustainable Development;Industrial Engineering Program,,,
Diana Marcela Mosquera Echeverry,Echeverry D.,57681710600,9-s2.0-57681710600,,1,2022-05-20,0,0,0,1,new,Communication;Linguistics and Language,2021-2021,Universidad del Cauca,60051434,No Aplica,,,
A. S. Lopez,Lopez A.,56655243300,9-s2.0-56655243300,,1,2015-06-02,0,0,0,1,update,Obstetrics and Gynecology,1996-1996,Universidad del Cauca,60051434,No Aplica,,,
Andrés Quiroga-Quiroga,Quiroga-Quiroga A.,57918344100,9-s2.0-57918344100,,1,2022-10-15,0,0,0,5,update,Gastroenterology;Hepatology,2022-2022,Universidad del Cauca,114497679,Applied Human Genetics Research Group,,,
Cristian Felipe Correa Gallego,Gallego C.,57219603652,9-s2.0-57219603652,,1,2020-10-31,0,0,0,5,new,Anesthesiology and Pain Medicine,2020-2020,Hospital Universitario San José,101775869,No Aplica,,,
Ramiro Miguel Acevedo Martínez,Martínez R.,57814785100,9-s2.0-57814785100,,1,2022-07-28,0,0,0,1,new,Mathematics (all),2022-2022,Universidad del Cauca,104717531,Department of Mathematics,,,
Juan Felipe Vidal Martínez,Martínez J.,57219602098,9-s2.0-57219602098,,1,2020-10-31,0,0,0,5,new,Anesthesiology and Pain Medicine,2020-2020,Hospital Universitario San José,101775869,No Aplica,,,
Lucía Maribel Velasco Villarreal,Villarreal L.,57219516166,9-s2.0-57219516166,,1,2020-10-27,0,0,0,7,new,Anesthesiology and Pain Medicine,2020-2020,Hospital Susana López de Valencia,117723547,No Aplica,,,
Luis Rojas,Rojas L.,38661719900,9-s2.0-38661719900,,1,2011-06-11,0,0,0,4,new,Engineering (all),2011-2011,Universidad del Cauca,60051434,No Aplica,,,
Angiee Camila Meneses Delgado,Meneses Delgado A.,58178811800,9-s2.0-58178811800,,1,2023-04-15,0,0,0,9,new,Education;Computer Science Applications,2020-2020,Universidad del Cauca,60051434,No Aplica,,,
Yeison Andres Urrea,Urrea Y.,57204394755,9-s2.0-57204394755,,1,2018-10-31,0,0,0,2,new,Computer Networks and Communications;Information Systems and Management,2018-2018,Universidad del Cauca,104717552,Departamento de Telemática,,,
Claudia Patricia Munoz Orozco,Munoz Orozco C.,57219849091,9-s2.0-57219849091,,1,2020-11-13,0,0,0,5,new,Pharmacology (medical);Pharmacology,2020-2020,Fundación Universitaria de Popayán,125338774,Magister en Psicologia de la salud,,,
Ana Cecilia Becerra,Becerra A.,36597907000,9-s2.0-36597907000,,1,2010-11-06,0,0,0,0,new,Medicine (all),2008-2008,Universidad del Cauca,60051434,No Aplica,,,
Gladys Amanda Mera-Urbano,Mera-Urbano G.,57471194500,9-s2.0-57471194500,0000-0002-3078-2301,1,2022-03-05,0,0,0,2,update,"Health (social science);Health Policy;Health Professions  (miscellaneous);Public Health, Environmental and Occupational Health;Community and Home Care",2022-2022,Universidad del Cauca,60051434,No Aplica,,,
Maribel Palencia-Palacios,Palencia-Palacios M.,57962112700,9-s2.0-57962112700,,1,2022-11-20,0,0,0,5,update,Obstetrics and Gynecology,2022-2022,Universidad del Cauca,60051434,No Aplica,,,
