idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,nombre_comercial,institucion,autores
00000000002174,False,Otro,Inventario de Productos Turísticos del departamento del Cauca (Colombia),Colombia,2009,Restringido,http://www.siturismocauca.com/,Departamento del Cauca,"ANDRES JOSE CASTRILLON MUNOZ, LUISA FERNANDA ZAPATA ARANGO, JOSE REINALDO MUNOZ RADA, JAIME BURBANO CASTILLO, JOHN ORTIZ"
00000000012079,False,Otro,"Columna de adsorción con carbón activado en polvo, flujo descendente",Argentina,2018,No restringido,Columna de adsorción,CIM-UNLP-CONICET,NASLY YANID DELGADO ESPINOSA
00000000010829,False,Base de datos de referencia para investigacion,plataforma de gestión de convocatorias y proyectos de investigación de la Fundación universitaria de popayán,Colombia,2019,Restringido,sistema digital de gestión de la investigación,FUNDACION UNIVERSITARIA DE POPAYAN,"DANIEL ANDRES FERIZ GARCIA, EDWIN MAURICIO REALPE GRIJALBA, ISMAEL REYES PAYAN"
00000000005361,False,Otro,MANUAL PARA EL MANEJO DE LA VEGETACIÓN EN EL ESPACIO PÚBLICO DE POPAYAN - CAUCA,Colombia,2007,Restringido,,No Aplica,ISABEL RAMIREZ MEJIA
00000000010553,False,Otro,MODELO DE GESTIÓN BASADO EN EL CUADRO DE MANDO INTEGRAL PARA LA INSTITUCIÓN UNIVERSITARIA COLEGIO MAYOR DEL CAUCA DE LA CIUDAD DE POPAYÁN,Colombia,2011,Restringido,Cuadro de Mando Integral,Colegio Mayor Del Cauca - Institución Universitaria,CARLOS HERNAN ANDRADE FALLA
00000000015901,False,Otro,"EcoSecador de café, optimización",Colombia,2018,Restringido,EcoSecador de café,UNIVERSIDAD DEL CAUCA,"JULIO ANDRES MOSQUERA BOLANOS, JULIAN ANDRES CAICEDO MUNOZ, DIEGO MANUEL DUSSAN MUNOZ, JOHN ROBERT MUNOZ CHAVEZ, JORGE ELIECER MANRIQUE JULIO"
00000000002192,False,Otro,Propuesta metodológica para la presentación de proyectos,Colombia,2006,Irrestricta,,RECURSOS PROPIOS,OLGA LUCIA CADENA DURAN
00000000002192,False,Otro,Fichas etnobotánicas,Colombia,2014,No restringido,Fichas etnobotánicas,UNIVERSIDAD DEL CAUCA,OLGA LUCIA CADENA DURAN
00000000012484,False,Otro,De la finca a la casa - Chayani,Colombia,2019,No restringido,De la finca a la casa - Chayani,FUNDACION UNIVERSITARIA DE POPAYAN,LUIS PLINIO COLLAZOS ROBLES
00000000010741,False,Otro,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACIÓN DE MUJERES CAFICULTORAS DEL CAUCA AMUCC,Colombia,2007,No restringido,PROTOCOLO DE CERTIFICACION,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,PROTOCOLO DE CERTIFICACION EN COMERCIO JUSTO PARA LA ASOCIACION DE PRODUCTORES AGROPECURARIOS DEL ROSARIO CAJIBIO - NUEVA INTEGRACION - ASPROANIN,Colombia,2007,No restringido,PROTOCOLO DE CERTIFICACION,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,Distribución en planta de 21 centros paneleros,Colombia,2008,No restringido,Diseños de trapiches paneleros,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000003965,False,Otro,Proceso de obtención de películas biodegradables para la fabricación de guantes para el consumo de alimentos,Colombia,2016,No restringido,Guante desechable Biodegradable,"Ministerio de Ciencia, Tecnología e Innovación.","GIOVANNI ALEJANDRO VARONA BELTRAN, KAREN DELGADO DELGADO, CAMILO ELIAS MONTILLA BUITRAGO, HECTOR SAMUEL VILLADA CASTILLO"
00000000003965,False,Otro,"Proceso de obtención de películas biodegradables flexibles compuestas por almidón de yuca, ácido poliláctico y policaprolactona",Colombia,2011,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,"Proceso de obtención de un material compuesto por harina de yuca, fibra de fique y glicerina",Colombia,2011,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Biodegradable packaging obtained from cassava flour and fique fiber and their manufacture process,Colombia,2012,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Biodegradable films obtained from cassava starch and their manufacture process,Colombia,2012,Restringido,,UNIVERSIDAD DEL CAUCA,"DIANA PAOLA NAVIA PORRAS, HECTOR SAMUEL VILLADA CASTILLO, JUAN PABLO CASTANEDA NINO"
00000000003965,False,Otro,Seminario Internacional de Agroindustria,Colombia,2012,,,No Aplica,HECTOR SAMUEL VILLADA CASTILLO
00000000003212,False,Otro,Base de Datos de la Encuesta Sociolingüística Lenguas Nasa Yuwe y Namtrik,Colombia,2008,Restringido,,No Aplica,TULIO ENRIQUE ROJAS CURIEUX
00000000003965,False,Base de datos de referencia para investigacion,Buenas Prácticas de Formulación de Proyectos,Colombia,2007,,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,HECTOR SAMUEL VILLADA CASTILLO
00000000003625,False,Otro,BD Agendamiento de citas,Colombia,2011,,,No Aplica,CESAR AUGUSTO GOMEZ VILLAMARIN
00000000006312,False,Otro,IMPACTO DEL MICROCREDITO EN EL DESARROLLO PRODUCTIVO Y LAS CONDICIONES DE VIDA DE LA CIUDAD DE POPAYÁN. UNA APROXIMACIÓN INTEGRAL,Colombia,2008,Restricta,,FUNDACION MUNDO MUJER,"ZORAIDA RAMIREZ GUTIERREZ, CARLOS ENRIQUE CORREDOR, OLGA LUCIA CADENA, BERNARDO JAVIER TOBAR"
00000000015254,False,Otro,Prototipo Software MECAPS,Colombia,2017,Restringido,,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000015254,False,Otro,Prototipo software ARCHINET,Colombia,2018,Restringido,Archinet,SERVICIO NACIONAL DE APRENDIZAJE SENA,LUIS ENRIQUE GARZON VELA
00000000015254,False,Otro,Método que apoya la ejecución de proyectos software desarollados por aprendices del programa de formación tecnológica Análisis y Desarrollo de Sistemas de Información - ADSI del Centro de Comercio y Servicio del SENA,Colombia,2019,No restringido,,SERVICIO NACIONAL DE APRENDIZAJE SENA,"CARLOS ERNESTO MAYA VALLEJO, LUIS ENRIQUE GARZON VELA"
00000000007096,False,Otro,KARAGABI KMMODEL: MODELO DE REFERENCIA PARA LA INTRODUCCIÓN DE INICIATIVAS DE GESTIÓN DEL CONOCIMIENTO EN ORGANIZACIONES BASADAS EN CONOCIMIENTO,Colombia,2008,Restringido,KARAGABI KMMODEL,No Aplica,"CAROLL ZULEIMA JOAQUI TRUJILLO, ALBERTO DE JESUS GONZALEZ RAMIREZ"
00000000007096,False,Otro,HERRAMIENTA TECNOLOGICA DE TRABAJO COLABORATIVO,Colombia,2009,Restringido,Gestión de Conocimiento y Trabajo Colaborativo Red de Software del Cauca,CÁMARA DE COMERCIO DEL CAUCA,"CAROLL ZULEIMA JOAQUI TRUJILLO, ALBERTO DE JESUS GONZALEZ RAMIREZ"
00000000007096,False,Otro,SISTEMA AUTOPORTANTE Y MÉTODO PARA LA COMUNICACIÓN Y DISTRIBUCIÓN MASIVA DE CONTENIDOS Y PUBLICIDAD DIGITAL EN ESPACIOS PÚBLICOS,Colombia,2017,Restringido,Robot Visual,"Ministerio de Ciencia, Tecnología e Innovación.",GABRIEL EDUARDO RENGIFO RIOS
00000000007096,False,Otro,SELF-SUPPORTING SYSTEM AND A METHOD FOR THE MASS COMMUNICATION AND DISTRIBUTION OF CONTENT AND DIGITAL ADVERTISING IN PUBLIC SPACES,Colombia,2018,Restringido,Robot Visual,"Ministerio de Ciencia, Tecnología e Innovación.",GABRIEL EDUARDO RENGIFO RIOS
00000000004806,False,Otro,Apicultura de Alto Valor,Colombia,2007,Restricta,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,JOSE WILDEMAN ORDONEZ VALVERDE
00000000003965,False,Base de datos de referencia para investigacion,Formulación de Proyectos- Ministerio de Agricultura y Desarrollo Rural,Colombia,2008,,,Ministerio De Agricultura Y Desarrollo Rural - Minagricultura,HECTOR SAMUEL VILLADA CASTILLO
00000000005833,False,Otro,Patente de invención titulada Sistema y método para medición del contenido de agua o corte de agua en mezcla de petróleo/gas-agua,Colombia,2017,No restringido,Sistema y método para medición del contenido de agua o corte de agua en mezcla de petróleo/gas-agua,ECOPETROL S. A.,DAVID ARMANDO REVELO LUNA
00000000010741,False,Otro,MODELO DE GESTIÓN PARTICIPATIVA PARA LA ASOCIACION DE MUJERES CAFICULTORAS DEL CAUCA - AMUCC,Colombia,2008,No restringido,MODELO DE GESTION PARTICIPATIVA AMUCC,FUNDACION UNIVERSITARIA DE POPAYAN,SONIA DEL CONSUELO GAVIRIA ARMERO
00000000010741,False,Otro,"Plan de manejo técnico ambiental para la agroindustria panelera, en el sur del Cauca",Colombia,2008,No restringido,Plan de Manejo Técnico Ambiental,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Diseño de hornillas paneleras para 21 centros productivos,Colombia,2008,No restringido,Diseño hornillas paneleras,Union Europea,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Construcción de cuatro trapiches paneleros,Colombia,2009,No restringido,Adecuación de Trapiches Paneleros,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000008431,False,Base de datos de referencia para investigacion,"""SER"" EMPRENDEDOR",Colombia,2019,Restringido,FORMACIÓN DEL SER ORIENTADO AL EMPRENDIMINENTO,Corporación Centro de Desarrollo Tecnológico Cluster CreaTIC,"MARIA FERNANDA GUZMAN GONZALEZ, MARIA EUGENIA SALDARRIAGA SALAZAR, EDUARDO ANDRES CONCHA CERON"
00000000010741,False,Otro,Introducción de nuevas variedades de caña para la producción de panela,Colombia,2009,No restringido,Variedades de caña para panela en el Cauca,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Establecimiento de Bosques endoenergéticos en 200 fincas de productores de panela,Colombia,2009,No restringido,Bosques Endoenergeticos,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000010741,False,Otro,Diseños y planos para la construcción de cuatro trapiches paneleros,Colombia,2009,No restringido,Diseños y Planos de Trapiches Paneleros,ADAM - ARD,FREDY EDUARDO LOPEZ DAZA
00000000007827,False,Otro,Análisis y Diseño para la aplicación BALANCE SCORE CARD,Colombia,2009,Restringido,BALANCE SCORE CARD,FUNDACION UNIVERSITARIA DE POPAYAN,LUIS FREDDY MUNOZ SANABRIA
00000000008160,False,Otro,Distribucíón de Procesos de Negocio en Sistemás Móviles de Infomación basado en un Algoritmo deHormigas,Colombia,2008,Restringido,Tesis de Pregrado,UNIVERSIDAD DEL CAUCA,"CRISTHIAN NICOLAS FIGUEROA MARTINEZ, ANDRES GUERRERO, JOSE ARMANDO ORDONEZ"
00000000000668,False,Otro,Cartilla: Recorriendo los caminos de la Bota Caucana y el Macizo Colombiano.,Colombia,2001,,,Grupo de investigaciones en Amazonia GIA,"CAROLINA DEL CAIRO SILVA, ASTRID LORENA PERAFAN LEDEZMA"
00000000000668,False,Otro,Analisis e identificacion de los restos oseos de Franciaso Jose de Caldas,Colombia,2007,,,UNIVERSIDAD DEL CAUCA,"PAOLA ANDREA TOVAR TOVAR, GILLERMO MAMBAGUE PINIMUE, PATRICIA VILLAMARIN, ELIZABETH TABARES TRUJILLO"
00000000008431,False,Otro,PEI EN LAS AREAS OPTATIVAS DE GESTION EMPRESARIAL EN LA INSTITUCION EDUCATIVA TOMAS CIPRIANO DE MOSQUERA DE LA CIUDAD DE POAPYAN,Colombia,2007,Restringido,PEI,Colegio Mayor Del Cauca - Institución Universitaria,MARIA EUGENIA SALDARRIAGA SALAZAR
00000000008431,False,Otro,DISEÑO DE UN MODELO PARA LA IMPLEMENTACION DE UNA HERRAMIENTA DE BASE TECNOLOGICA A BAJO COSTO BASADA EN EL PROTOTIPO (MAKE-BLOCK) EMPLEANDO LA PLACA ARDUINO. QUE INTERACTUE DE MANERA DINAMICA CON LAS METODOLOGIAS DE APRENDIZAJE EN EMPRENDIMIENTO EN LAS INSTITUCIONES DE EDUCACION MEDIA TECNICA DE LA,Colombia,2016,No restringido,HERRAMIENTA DE BASE TECNOLOGICA A BAJO COSTO BASADA EN EL PROTOTIPO (MAKE-BLOCK),Colegio Mayor Del Cauca - Institución Universitaria,"MARIA FERNANDA GUZMAN GONZALEZ, EDNA MARIANA AGUILAR MALES, MARIA EUGENIA SALDARRIAGA SALAZAR"
00000000000592,False,Otro,especies forestales asociadas a los guaduales: Guia de campo para la identificación taxonómica,Colombia,2006,,,No Aplica,ROMAN OSPINA MONTEALEGRE
