idcvlac,nombre,url
0001522867,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/5268316/jorge-alberto-lopez-guzman/
0001522867,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57441853000
0001522867,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8538-4004
0001218514,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3104-130X
0001373952,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3948-6274
0001346256,ResearcherID (Thomson Reuters - WOS),https://publons.com/researcher/4407867/olga-lorena-cortes-ceballos/
0001346256,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0583-1017
0001630727,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5779-0398
0000247243,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-5349-1374
0000011223,Autor ID (Scopus),http://www.scopus.com/inward/authorDetails.url?authorID=48161024400&partnerID=MN8TOARS
0000011223,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-5147-3639
0000011223,Otro,https://publons.com/researcher/3842121/tania-milena-gutierrez-valencia/
0001378150,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=56656633300
0001378150,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-7796-7023
0000848000,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8411-9030
0001706623,Open Researcher and Contributor ID (ORCID),https://orcid.org/https://orcid.org/0000-0002-9300-9295
0001674199,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7485-4178
0001343051,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=29688727
0000011266,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-4323-7158
0001343056,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-3740-8424
0000734438,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6547-0378
0000351393,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2354-1091
0000061379,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0921-1149
0000011347,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=24831578700
0000777668,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-6488-4667
0000016910,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57219406553
0000016910,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2356-3370
0001373444,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=55530756200
0001373444,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-2375-5513
0000640344,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=15122622100
0001568344,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7254-7983
0000081240,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0003-0970-2845
0001454126,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2343-9652
0001563584,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-9940-056X
0001406985,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-8737-8695
0000115264,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-4134-100X
0000301876,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=57101084800
0000301876,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0001-9421-3717
0001403787,Open Researcher and Contributor ID (ORCID),https://orcid.org/my-orcid?orcid=0000-0002-1261-6297
0001397363,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-7297-2816
0000000248,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=24475272200
0000816620,Autor ID (Scopus),https://www.scopus.com/authid/detail.uri?authorId=36139047100
0000816620,Open Researcher and Contributor ID (ORCID),https://orcid.org/0000-0002-2454-9482
0001484143,Open Researcher and Contributor ID (ORCID),https://orcid.org/my-orcid?orcid=0000-0001-9183-5799
