idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,institucion,autores
00000000015254,False,Industrial,PDHP PROYECTO DE DIVULGACIÓN HISTÓRICA,Colombia,2020,Restringido,Servicio Nacional De Aprendizaje Sede Popayan,"JHONATAN ISAAC TUMBO RUIZ, ALAN FERNANDO MUNOZ VELASCO, ROBERTH ALEXANDER ORDONEZ COBO"
00000000015254,False,Industrial,Cocinando enSeñas,Colombia,2018,Restringido,Servicio Nacional De Aprendizaje Sede Popayan,VICTOR ALFONSO RIASCOS MENDEZ
00000000018223,False,Industrial,Bioproducto de Teja para bioconstruccion,Colombia,2022,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO"
00000000018223,False,Industrial,Bioproducto en Bloque BCC para bioconstruccion,Colombia,2022,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,"RICHARD MARCELO IMBACHI CHAVEZ, MARIA CAMILA AYALA GIRON, GUSTAVO PEREZ GUERRERO, YINET VANESA HOYOS BOLANOS, SANDRO MAURICIO RAMOS VELASCO"
00000000018223,False,Industrial,MADERAS AGLOMERADAS DE CAFE,Colombia,2019,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,RICHARD MARCELO IMBACHI CHAVEZ
00000000001162,False,Industrial,"MODELO CONTABLE DE IDENTIFICACION, MEDICION, VALORACION Y REPRESENTACION DE IMPACTOS AMBIENTALES",México,2012,Restringido,No Aplica,FRANCISCO JAVIER ORTEGA
00000000000694,False,Industrial,PROTOTIPO DE GESTION DE CAMPAÑAS BATCH PARA LA EMPRESA OMNICON S.A,Colombia,2013,Restringido,No Aplica,OSCAR AMAURY ROJAS ALVARADO
00000000021890,False,Industrial,Aparato de tinción de muestras de patología que incluye un mecanismo de movimiento removible,Colombia,2019,Restringido,UNIVERSIDAD CATÓLICA DE MANIZALES,"GLORIA LOPEZ MUNOZ, JESUS EMILIO PINTO LOPERA, DIANA CAROLINA MENESES CABEZAS"
00000000000694,False,Industrial,PROTOTIPO SOFTWARE PARA EL INTERCAMBIO ESTANDARIZADO DE INFORMACIÓN DEL MÓDULO PP-PI DE SAP/R3 PARA LA EMPRESA OMNICON S.A,Colombia,2013,Restringido,No Aplica,OSCAR AMAURY ROJAS ALVARADO
00000000008160,False,Industrial,Control Electrónico de Armarios para la Red Telef,Colombia,1996,,No Aplica,"IVAN EDUARDO HERNANDEZ DELGADO, CARLOS ENRIQUE SERRANO CASTANO, EDUARDO ROJAS PINEDA, JOSE FERNAN MARTINEZ ORTEGA, RODRIGO ALBERTO CERON MARTINEZ, FABIO ERNESTO TRUJILLO CERON"
00000000008160,False,Industrial,Concentrador para 384 abonados telefónicos. Fase 1,Colombia,1991,,No Aplica,"ALVARO RENDON GALLON, RAFAEL RENGIFO PRADO, ADOLFO PLAZAS TENORIO, EDUARDO ROJAS PINEDA, RODRIGO ALBERTO CERON MARTINEZ"
00000000000694,False,Industrial,PROTOTIPO DE AUTOMATIZACIÓN DE LOS FLUJOS DE TRABAJO PARA EL DEPARTAMENTO DE TALENTO HUMANO EN LA EMPRESA OMNICON S.A,Colombia,2013,Restringido,No Aplica,OSCAR AMAURY ROJAS ALVARADO
