idcvlac,nombre,activa
0001693618,COMERCIALIZACIÓN Y CERTIFCACIÓN DE PRODUCTOS AGROPECUARIOS,No
0000343269,Mensura forestal,Si
0000343269,Gestión territorial y Ambiental,Si
0000343269,Sistemas agroforestales,Si
0000343269,Manejo integral de Cuencas hidrográficas,Si
0000343269,Conocimiento de especies maderables y potencialmente aprovechables en los bosques de la Bota caucana y Costa Pacífica del Cauca,No
0000343269,"Identificación,selección, establecimiento y manejo de fuentes semilleras de especies nativas en la cuenca hidrográfica del río Cauca, departamento del Cauca",No
0000343269,Identificación y construcción preliminar de la xiloteca para el departamento del Cauca,No
0000343269,Gestión integral del recurso hídrico,Si
0001248634,Silvicultura,Si
0001248634,Ecología Forestal,Si
0001248634,Conservación de bosques,Si
0001248634,Manejo Sostenible de Manglares,No
0001248634,Semillas Forestales,Si
0001248634,Sistemas Agroforestales,Si
0000592862,Desarrollo rural,Si
0001504054,investigación y desarrollo,Si
0001504054,Silvicultura,No
0001504054,Educación Rural Intercultural,Si
0001440991,Biodiversidad y Conservación,Si
0000054161,Análisis de cadenas agroindustriales y desarrollo rural,Si
0000054161,Sistemas Agroalimentarios Localizados SIAL,Si
0000341339,Seguridad Alimentaria,Si
0000341339,Proyectos Productivos Rentables,Si
0000341339,Fondos Rotatorios de Crédito,Si
0000341339,Capacitación y Asesoría Técnica,Si
0000341339,Desarrollo Rural,Si
0000341339,Fondo Rotatorio de Crédito,No
0000341339,Proyectos Productivos,No
0000341339,Educación Rural,No
0000341339,Alternativas de producción para la Orinoquia,No
0000773832,SEGURIDAD ALIMENTARIA,Si
0001613288,Gestión territorial y ambiental,Si
0001613288,Sistemas Agroalimentarios Localizados,Si
0001613288,Calidades de café,No
0001613288,Competitividade e Sustentabilidade do Agronegócio,Si
0000122135,Desarrollo Rural,Si
0000122135,Educación rural,Si
0000122135,Sustentabilidad de sistemas agroalimentarios,Si
0000042373,Agronomia y Agroindustria,Si
0000245968,Ecología,Si
0000245968,Productos forestales,No
0000245968,Ecología,No
0000245968,Forestería comunitaria,No
0000348422,Desarrollo Tecnológico e Innovación,Si
0000348422,Gestión Integral del recurso hídrico,Si
0001588062,Educación Intercultural,Si
0001588062,Agroecología,Si
0001588062,Sistemas Integrados de Producción Agropecuaria,Si
0001588062,Seguridad y soberanía alimentaria,Si
0000886998,ordenamiento territorial,Si
0000886998,Agroecología,Si
0000886998,Planeación regional del desarrollo,Si
0000076988,Ciencias Naturales y de la Educacion,Si
0000076988,Reduccion de tiempos de fermentacion,No
0000076988,Recuperacion de alcoholes superiores (aceites de fussel),No
0000076988,Funcionammiento del UASB con Vinazas,No
0000076988,Contaminacion por plaguicidas y metales pesados,No
0000076988,"Cromatografia de Gases, HPLC y CG/MS en la separacion, cuantificacion e identificacion de plaguicidas y sus metabolitos en las matrices agua y suelos",No
0000076988,"Suelos, fertilizantes y fertilización",Si
0000076988,Aprovechamiento de residuos agroindustriales,Si
0000076988,"Materia orgánica , Plaguicidas y Medio ambiente",Si
0001437235,Suelos y materia orgánica,Si
0001437235,Superconductores de Baja Temperatura,No
0001376476,".- Aprovechamiento de residuos agroindustriales ; suelos, fertilizantes y fertilizacion; materia organica, plaguicidas y medi ambiente",Si
0001376476,Quimica de suelos,Si
0000636460,Productos Naturales,No
0000636460,Plaguicidas y Medio Ambiente,No
0000636460,aprovechamiento de residuos agroindustriales,No
0000636460,Plaguicidas y medio ambiente,No
0001008269,"Turismo, Desarrollo y Sociedad",Si
0001008269,Gestión del Turismo,Si
0001008269,Competitividad Turistica,Si
0001008269,Direccionamiento Estratégico Organizacional,Si
0001008269,Dirección Estratégica en el Sector Agroindustrial,No
0001008269,Dirección Estrategica Sector Educación Superior,No
0001008269,Gestión Integral de las Organizaciones,Si
0000104042,"suelo, fertilizantes y fertilización",Si
0001434591,Biomarcadores para la determinación de contaminantes ambientales,Si
0001434591,El ambiente de trabajo y el efecto sobre la salud de los trabajadores,Si
0001434591,Contaminantes ambientales y efectos sobre la salud,Si
0000012114,Estudio de Volátiles en Café Tostado y Molido,No
0000012114,Estudio de Lípidos,No
0000012114,Estudios de Metabolítos Secundarios en Plantas,No
0000012114,Estudios de Metabolitos Secundarios en Hongos,No
0000012114,Relación de Compuestos volátiles en Café Tostado y Molido  con la Altura de Siembra del Cultivo,Si
0000012114,Estudio de Desvertizado en Frutas,No
0000012114,EVALUACION DE GERMOPLASMA,Si
0000012114,Estudios en Antioxidantes,Si
0000012114,Generar estrategias para agregar valor a los procesos de producción y a la calidad del café,Si
0000012114,Estudio de Compuestos Volátiles en Frutos de Café Cereza en Diferentes Estados de Maduración,No
0000163538,Manejo Agroecológico de suelos,Si
0000163538,Microbiología de suelos,Si
0000163538,manejo agroecológico de sistemas productivos agropecuarios,Si
0000163538,Planificación agroecológica de microcuencas,Si
0000163538,"Investigación sobre tecnologías en recuperación de suelos con uso de microorganismos descomponedores, micorrizas y lombrices (LRC)",No
0000163538,"Ensayos preliminares sobre cultivo de hongos promisorios utilizando subproductos locales como sustrato, como alternativa a la alimentación humana y la obtención de abonos orgánicos",No
0000163538,Asistente de Investigación en Toxoplasmosis y Monitora,No
0000163538,"Diseño experimental, sistematización de datos",No
0001381457,"Materia orgánica , Plaguicidas y Medio ambiente",Si
0001381457,"Suelos, fertilizantes y fertilización",Si
0001381457,Aprovechamiento de residuos agroindustriales,Si
0000449555,Salud Ambiental,Si
0000449555,Epidemiologia Ambiental,Si
0000449555,Epidemiología genética molecular,Si
0000449555,Toxicología Genética y Citogenética,Si
0000449555,Gestión Ambiental,Si
0000170534,Nutrición,Si
0000170534,"Agroquímica (Relación suelo, planta, hombre)",Si
0000163635,Plaguicidas y medio ambiente,No
0000163635,Materia orgánica y medio ambiente,No
0000163635,Aprovechamiento de residuos agroindustriales,Si
0001294210,Biocultura,Si
0001294210,Conservación de la Biodiversidad Regional (COBIOR),Si
0001294210,Geosistemas Andinos Y Modelos De Antropización ( GAMA ),Si
0001294210,Agroecologia,Si
0001294210,Educacion Ambiental,Si
0001294210,Gestion Ambiental,Si
0001294210,Conservación de suelos,Si
0000170585,Bioquímica,No
0000170585,Agroquímica,No
0000170585,Royas de cafeto y de clavel,No
0000170585,Fungicidas con base en Cu para roya de café,No
0000170585,Fitopatología,No
0000170585,Royas,No
0000170585,Desarrollo de formulación de Fertilizantes Líquidos,No
0000170585,Desarrollo de formulación de Coadyuvantes,No
0000170585,Suelos,No
0000170585,Fertilización,No
0000170585,Producción de fertilizantes,No
0000170585,"Suelos, fertilizantes y fertilización",Si
0000170585,Materia orgánica y medio ambiente,Si
0000170585,Aprovechamiento de residuos agroindustriales,Si
0000060485,"Materia Orgánica, Plaguicidas y Medio Ambiente",Si
0000152633,MANEJO DE SUELOS Y AGUAS,Si
0000152633,QUIMICA DE SUSTANCIAS HUMICAS,Si
0000152633,QUIMICA DE SUELOS,Si
0000152633,MATERIA ORGANICA EN SISTEMAS AGROPECUARIOS,Si
0000152633,FERTILIDAD DE SUELOS,Si
0001408586,Nanociencia y Nanotecnología,Si
0001408586,Generación de Informes,Si
0001408586,Análisis Físicoquímicos - Aguas,Si
0001408586,Sistemas Biomiméticos,No
0001408586,Análisis Físicoquímicos - Sabores,No
0000178550,Huella Hídrica en mineria aurífera,Si
0001390090,Agroquímica,Si
0001390090,Fermentación café,Si
0001390090,Tratamiento de residuos químicos,Si
0001390090,TRATAMIENTO DE GASES,Si
0001390090,Aprovechamiento de residuos,Si
0001390090,Quimica ambiental,Si
0001390090,QUÍMICA ANALÍTICA,Si
0000060490,"Suelo, fertilizantes y fertilización",Si
0000371440,Catálisis,Si
0000371440,Agroquímica,Si
0000771554,plaguicidas y medio ambiente,Si
0000771554,Materia Orgánica y Medio Ambiente,Si
0001726488,"INGENIERÍA, TECNOLOGÍA E INGENIERÍA AMBIENTAL",Si
0001726488,Quimica Analitica,Si
0000118854,QUÍMICA AMBIENTAL,Si
0000118854,QUÍMICA DE ALIMENTOS,Si
0000118854,BIOTECNOLOGÍA AMBIENTAL,Si
0000118854,AGROQUÍMICA,Si
0000174866,Materiales,Si
0000174866,Nanotecnología,Si
0000174866,Superconductividad,Si
0000174866,Conductores recubiertos,Si
0000174866,Peliculas delgadas,Si
0001538712,"Materia orgánica, Plaguicidas y Medio Ambiente",Si
0000168084,Aprovechamiento de Biomasa,Si
0000168084,Química Analítica,Si
0000168084,Técnicas Separativas,Si
0000168084,Medio Ambiente,Si
0000168084,Toxicidad,Si
0000771546,Gastronomía,Si
0000771546,Fotocatalisis en Muestras Ambientales,Si
0000771546,Materia Orgánica y Medio Ambiente,Si
0000771546,Plagicidas y medio ambiente,Si
0001270230,Estudio Agua,No
0001270230,Desarrollo de formulas para fabricar productos de aseo,No
0001270230,Estudio de mercadeo y publicidad,No
0001270230,Implementación de Métodos de Validación para los Análisis de Laboratorio,No
0001270230,Estudio de Plantas,No
0001270230,Estudio de Suelos,No
0000935433,Plaguicidas y Medio Ambiente,No
0000935433,Materia Orgánica y Medio Ambiente,No
0000935433,"Materia Orgánica, Plaguicidas y Medio Ambiente",Si
0001459435,"Fisicoquímica, orgánica, medioambiente",Si
0000044617,Arquitectura,Si
0000044617,Planificación territorial,Si
0000044617,Urbanismo,Si
0000642452,Medio Ambiente y habitat,Si
0000642452,Marginalidad urbana,Si
0000642452,Estudios Territoriales,Si
0000642452,Planificación urbana y regional,Si
0001638267,Planificación urbana y ordenamiento territorial,Si
0001638267,Periodismo de Investigación,Si
0001638267,"Apropiación social del conocimiento a través del arte, el diseño y la comunicación",Si
0001045482,Caracterización del Sector Artesanal Vallecaucano,No
0001045482,Arte y Diseño,Si
0001713334,Inteligencia Artificial,Si
0001713334,Paisajes Sonoros,Si
0001713334,Educacion steam,Si
0000692662,Gestión del Conocimiento,Si
0000692662,Ingeniería del Software,Si
0000692662,Desarrollo Regional,Si
0000692662,Turismo,Si
0000118804,Obsolescencia en edificaciones,Si
0000553069,Estéticas populares,Si
0000553069,Crítica Literaria y Cultural,Si
0000553069,Representaciones simbólicas urbanas,Si
0000553069,Creación literaria en Poesía,Si
0001672404,APROPIACIÓN SOCIAL DEL CONOCIMIENTO,Si
0001745210,PENSAMIENTO PROYECTUAL DESDE EL CAMPO DE LA REPRESENTACION Y SIMULACION,Si
0001712515,Tecnología,No
0001712515,Pensamiento proyectual desde el campo de la representación y simulación,Si
0000620165,"El desarrollo del diseño en el mundo editorial, hace que el conocimiento en tecnologías y pltaforma híbridas MAC-PC, hacen que la actualización e investigación sea constante para dar con la exigencia que una empresa como El Pais lo pide",No
0000620165,"Diseño Editorial, retoque digital y nuevas tendencias",No
0000620165,La pedagogía en las lecturas Texto-Imagen,No
0000676705,"Urbanismo, paisajismo y planificacion territorial",Si
0000676705,Historia Patrimonio y critica,Si
0000676705,"Sociedad, medio ambiente y hábitat:",Si
0000676705,Construcción y sistemas tecnológicos:,Si
0000676705,Arquitectura y territorio:,Si
0000110469,Estudios interdisciplinares en paisaje sonoro,Si
0000110643,Urbanismo,Si
0000110643,Movilidad,Si
0001675495,PATRIMONIO,Si
0000141363,ARQUITECTURA,No
0001128892,Línea de arte y diseño,Si
0000110125,Movilidad Urbana sostenible,Si
0001527315,Planificación Georeferenciada,Si
0001527315,Gestión Ambiental,Si
0001527315,Planificación Urbana,Si
0000676446,Medio Ambiente y Habitat,Si
0000902284,Patrimoio cultural,Si
0000902284,Patrimonio cultural,Si
0000902284,Patrimonio arquitectonico,Si
0000902284,Patrimonio Cultural,No
0000902284,Urbanas y arquitectonicas,Si
0000902284,Patrimonio Cultural,Si
0000902284,Historia,Si
0000040775,Apropiacion social de la ciencia a través del juego,Si
0000040775,Apropiación social de la ciencia a través del arte y el diseño,Si
0001634010,Aplicación de nuevas tecnologías en el estudio del patrimonio material,Si
0001464800,Planificación Urbana Sostenible,Si
0001464800,El Juego en la Apropiación Social del conocimiento,Si
0000093076,"Plantas de tratamiento,tasas retributivas",No
0000093076,calidad del agua,Si
0000093076,control de la contaminacion,Si
0000093076,"CALIDAD DEL AGUA,DINAMICA DE CONTAMINANTES,TRATAMIENTO DE AGUAS POR HUMEDALES ARTIFICIALES",Si
0000093076,Metodos Naturales para el tratamiento de aguas residuales,Si
0000093076,Dinamica de contaminantes quimicos en el suelo,Si
0001437368,Ecología,Si
0001491477,CALIDAD DEL AGUA,Si
0001491477,SANEAMIENTO BÁSICO,Si
0001491477,MANEJO DE RESIDUOS SÓLIDOS,Si
0001491477,TRATAMIENTO DE AGUAS RESIDUALES,Si
0001573872,Métodos alternativos para el tratamiento de aguas residuales,Si
0001573872,Desarrollo Sustentable,Si
0001573872,"Apropiación social de la ciencia, la tecnología y la innovación",Si
0001573872,Gestión Integral del Recurso Hídrico,Si
0001246984,Síntesis de materiales adsorbentes para la remoción de contaminantes en sistemas acuosos,Si
0001558642,GESTIÓN AMBIENTAL,Si
0001558642,Tratamiento de aguas y procesos de oxidación avanzada,Si
0001558642,URBANÍSMO,Si
0001844188,Suelos,Si
0001844188,Aire,Si
0001844188,Química analítica,Si
0001844188,Contaminantes emergentes,Si
0001844188,Tratamiento de aguas,Si
0001844188,Aguas,Si
0000153957,Contaminantes emergentes,Si
0001589318,Tratamiento de aguas residuales a nivel domiciliario rural por humedales de flujo subsuperficial horizontal,No
0001589318,Tratamiento de agua potable a nivel domiciliario rural por FIME,No
0001481292,Gestión Ambiental y Control de la Contaminación,Si
0001481292,Gestión Ambiental,Si
0001481292,Gestión del Riesgo de Desastres y Cambio Climático,Si
0000010581,GEOLOGÍA PARA INGENIERÍA,Si
0000010581,AMENAZAS Y RIESGOS NATURALES,Si
0000010581,GEOLOGÍA PARA INGENIERÍA Y GEOTECNIA,Si
0000406368,Química ambiental,Si
0000406368,Química atmosférica,Si
0001665856,Gestión Integral del Recurso Hídrico,Si
0000695211,MIEMBRO ASESOR GRUPO DE ESTUDIOS AMBIENTALES - GEA - UNICAUCA,Si
0000695211,ESTADISTICA AMBIENTAL,Si
0000695211,ASESOR ESTADISTICO GRUPO DE AGROQUIMICA ESTUDIOS DE BIABONOS,No
0000695211,MIEMBRO ASESOR EN ESTADISTICA GRUPO DE ESTUDIOS EN MANEJO DE VIDA SILVESTRE Y CONSERVACION,Si
0001488592,analizis metagenomico de comunidades endofitas y rizosferica y de suelo,Si
0001488592,Inductores de resistencia en plantas,Si
0001488592,Microbiología Agrícola,Si
0001488592,Bacterias promotoras de Crecimiento Vegetal,Si
0000009955,Amenazas naturales y riesgo,Si
0001574214,RESIDUOS PELIGROSOS,No
0001574214,Educación Ambiental,Si
0001082124,Mecanismos de Desarrollo Limpio,No
0001082124,Mecanismos de Desarrollo Limpio - MDL,No
0001082124,Desarrollo Sostenible,Si
0001082124,Deporte,Si
0001082124,Paz,Si
0001575459,Calidad de agua,Si
0001575459,Salud Ambiental,Si
0001575459,Microbiologia Ambiental,Si
0001572686,Métodos naturales para el tratamiento de aguas residuales,Si
0001572686,Diseño y construcción de humedales artificiales,Si
0001572686,Manejo y aprovechamiento de residuos sólidos,Si
0001472310,Diseño y Construcción de humedales artificiales,Si
0001472310,Gasificación catalítica de biomasa,Si
0001472310,Energías Alternativas,Si
0001472310,Nanopartículas de plata en el tratamiento de aguas,No
0000063139,RIESGOS DE DESASTRES,Si
0001437370,Ecosistemas y recursos naturales,Si
0001437370,Tratamiento de aguas,Si
0001437370,Diagnóstico y remoción de contaminantes,Si
0000835994,Valorización de residuos sólidos usando procesos anaerobios,Si
0000835994,Investigación en la eliminación de contaminantes hollín y PAHs generados a partir de procesos termoquímicos,Si
0000835994,Diagnóstico y control del recurso hídrico,No
0000835994,Estandarizacion de condiciones que influyen en el tratamiento de agua residual usando humedales construidos,No
0001344031,Geomática,Si
0001344031,Metrología,Si
0001344031,Amenaza y Riesgo,Si
0001712994,Contaminación Atmosférica,Si
0001712994,Contaminación del agua,Si
0000001314,Calidad de agua y sedimentos en embalses,Si
0000001314,Tratamiento biológico de aguas residuales,Si
0001405361,Recurso Hidrico y sociedad,Si
0001405361,Tecnologías de la Información y las Comunicaciones para la gestión del conocimiento en las organizaciones,Si
0000153623,Tratamiento de aguas residuales mediante la técnica de humedales construidos,Si
0000153623,Métodos naturales para el tratamiento de aguas,Si
0000153623,Nanopartículas de plata para la desinfección del agua,Si
0000153623,Remoción de contaminantes emergente,Si
0001342535,"Pedagogia, Cultura y Comunidad",Si
0001342535,"Educación, Arte y Cultura",Si
0001420523,Uso y apropiación de las TIC,No
0001591161,Saberes y Prácticas Pedagógicas,Si
0001549224,"Educación, Arte y Cultura",Si
0000110349,Invesitgación Arte y cultura,Si
0000110366,"EDUCACIÓN,ARTE Y CULTURA",Si
0000110366,investigación creación,Si
0001755935,Resignificación ancestral de los consejos comunitarios por medio de la danza,Si
0001755935,Proceso lecto-escritor en estudiantes de primer grado,No
0001755935,Prácticas ancestrales de comunidades afrodescendientes,Si
0001755935,Dispositivos básicos de Aprendizaje,No
0000810126,Educación,No
0000810126,Investigación + Creación,Si
0001763419,"Educación, Arte y Literatura",Si
0001763419,"Educación, Arte y Cultura",Si
0000243540,Culturas populares y patrimonio,Si
0000243540,Humanismo y organizaciones,Si
0000243540,Economia y cultura,Si
0000243540,Etnohistoria,No
0001483838,Estudios críticos del desarrollo,Si
0001483838,Territorio y ambiente,Si
0001483838,Economía y ecología,Si
0001483838,Innovación Social,Si
0001483838,Educación y economía,Si
0001612684,"Comunicación, relaciones interculturales e innovación social",Si
0000738417,Indicadores Lideres,Si
0000738417,Economía Laboral del Cauca,Si
0000738417,Economía Industrial,Si
0000738417,Crecimiento Económico Regional,Si
0001428651,Educación,Si
0001428651,Estudios de Género,Si
0001428651,Sociología de la Sexualidad,Si
0000721700,Desarrollo Social,Si
0000721700,Investigación de Mercados,Si
0000721700,Crécimiento económico - Generación de Ingresos,Si
0000721700,Desarrollo Económico Rural,Si
0001339870,Política pública cultural,No
0001406332,"Comunicación, relaciones interculturales e innovación social",No
0000332712,Desarrollo de Productos,Si
0000332712,Gestión Tecnológica,Si
0000332712,Gestión de Conocimiento,Si
0000332712,Planeación Tecnológica,Si
0000332712,Technology Adoption,Si
0000332712,Technology Transfer,Si
0001822589,ESTUDIOS ECONOMICOS,No
0000192848,Innovacion Industrial,Si
0001519402,filosofia latinoamericana,Si
0001519402,etnoliteratura,Si
0001519402,etnoeducacion,Si
0001492802,Estudios del Desarrollo,Si
0001492802,Ecología Política,Si
0001492802,Teorìa Política,Si
0001492802,Interculturalidad,Si
0001492802,Multifuncionalidad del Territorio,Si
0001492802,Economía Social y Solidaria,Si
0000195600,Creatividad e Innovación,Si
0000047347,Desarrollo social,Si
0000047347,Economía y cultura,Si
0000047347,Ideología de género,Si
0001485477,Problemáticas ecológicas en comunidades rurales,Si
0001485477,Marxismo y naturaleza: Fuerzas económicas de transformación social,Si
0000692921,"Ciudadanía, Cultura y Organización",No
0000692921,Litoral del Pacifico Caucano,No
0001492511,Economía Solidaria,Si
0001492511,Viabilidad Socio-económica,No
0001492511,Administración de recursos humanos,Si
0001492511,Estudio socio-económico,No
0000315168,Medio Ambiente y Desarrollo Sustentable,Si
0000315168,Estudios Interdisciplinarios del Desarrollo,Si
0000315168,Gestión Social participación y desarrollo comunitario,Si
0000315168,Restablecimiento socioeconómico de población en situación de desplazamiento,No
0000315168,Estudio sobre hábitos alimenticios de la población laboral,No
0000315168,Innovación pedagógica y didáctica en educación abierta y a distancia,Si
0000315168,"Educación abierta y a distancias, TIC´s y educación virtual",Si
0000315168,Juego Gerencial,Si
0000315168,Simuladores Gerenciales,Si
0000315168,Emprendimiento y empresarismo,Si
0000315168,"Innovación, Sostenibilidad Empresarial y Valor compartido",Si
0001399004,Economía y Finanzas,Si
0001432329,Educación,Si
0001432329,Políticas Públicas,Si
0001432329,Eficiencia y Productividad,Si
0001409555,Conflicto,Si
0001409555,Patrimonio Biocultural,Si
0001409555,Desarrollo rural,Si
0001409555,Migración,Si
0001409555,Territorio,Si
0001409555,Comunicación para el cambio social,Si
0001520532,Agroecología indígena,Si
0001474779,Trabajo Social,Si
0001474779,Educación,Si
0001474779,Ambiental,Si
0001474779,Salud Publica,Si
0001474779,Biologia de la conservacion,Si
0001474779,Ciencias,Si
0001474779,Geografia Cultural,Si
0001474779,Geografía,Si
0001474779,Enseñanza de la Geografía,Si
0001474779,1.- Desarrollo Regional y Gestión Social Latinoamericana 2,Si
0000520748,Competitividad Territorial,Si
0000520748,Gestión y Evaluación de Políticas Públicas,Si
0000520748,Comercio Internacional,Si
0000520748,Alternativas tecnológicas de Mecanización y labranza de conservación en cultivos transitorios,No
0000520748,Regulación de bienes públicos,Si
0000520748,Provisión Privada de Infraestructura Carretera,Si
0000520748,infraestructura para el desarrollo,Si
0000268453,Historia ambiental,Si
0000268453,Empleo,Si
0000268453,"Uso, manejo y control de agua",Si
0000268453,Habitantes de páramo,Si
0000268453,agroecología,Si
0000268453,Encadenamiento productivo,Si
0000268453,Pago por servicios ambientales,Si
0000268453,Economía ecológica,Si
0000268453,Género,Si
0000268453,Comunitarismo e historia ambiental local,Si
0000268453,Economía ambiental,Si
0000268453,Seguridad alimentaria,Si
0000268453,Modelos alternativos de desarrollo,Si
0000268453,Economía agraria y desarrollo rural,Si
0000268453,Políticas públicas,Si
0000268453,Planes de ordenación de recursos hídricos,Si
0000268453,Ordenación de páramos,Si
0000268453,Economía social y solidaria,Si
0000268453,"Desarrollo, convivencia y paz",No
0000268453,Planeación participativa,No
0000268453,Competitividad y región,No
0000268453,Cadenas productivas,Si
0000268453,fortalecimiento institucional,No
0000268453,Desarrollo regional,No
0000268453,Asistencia preparatoria del laboratorio de paz en el norte del Tolima,No
0000268453,Planeación participativa,Si
0000268453,Planes de vida a comunidades indígenas del Cauca,Si
0000268453,diálogo de saberes con comunidades indígenas,No
0000268453,Sociedades y economías rurales,Si
0000268453,"Caracterización de comunidades indígenas, en el Tambo, Cauca",Si
0000268453,"Caracterización de comunidades afrocolombianas en el bordo, Patía, Cauca",Si
0000268453,"Caracterización de comunidades campesinas en el municipio de la sierra, Cauca",Si
0000268453,diagnóstico rural participativo en el Cauca,Si
0000268453,"el trueque desde una perspectiva comparativa: diálogo de saberes y fortelecimiento del conocimiento ancestral en el cauca andino: Nasa, Yanakonas y kokonukos",Si
0000268453,Agroecoturismo,Si
0000268453,Educación rural intercultural,Si
0000268453,Caficultura,Si
0000588547,Antropología jurídica,Si
0000588547,"Derecho, sociedad y cultura jurídica",No
0000588547,Derechos fundamentales en las formas contemporáneas de trabajo,Si
0000588547,ESTUDIOS DE LA CULTURA Y LA SUBJETIVIDAD EN EL DERECHO SOCIAL Y EL MUNDO DEL TRABAJO,Si
0001631512,Sociedad,Si
0001631512,Educación,Si
0001631512,Conflicto,Si
0001631512,Género,Si
0000700789,Políticas pública,Si
0000700789,Gestión del desarrollo y ordenamiento territorial,Si
0000700789,Población y desarrollo,Si
0000700789,Desarrollo urbano,Si
0001491883,Economía Ecologica,Si
0001491883,Politicas Publicas,Si
0001491883,Estudios Socioambientales,Si
0000329916,Social,Si
0000329916,Comunidades negras,Si
0000329916,Generación de ingresos,Si
0000329916,Ordenamiento Territorial,Si
0000329916,Formación Jóvenes investigadores,Si
0000329916,Ambiental,Si
0001522397,Educación Rural Intercultural,Si
0001522397,Antropología y Etnografía de la educación,Si
0001522397,Memorias y sabidurías ancestrales,Si
0001522397,Etnobiología  y estudios bioculturales,Si
0001522397,Extensión Rural Intercultural,Si
0001389538,Bienestar,No
0001389538,"Estudios sociales, ambientales y del desarrollo",No
0001389538,Estudios organizacionales,Si
0001389538,Educación Ambiental,No
0001389538,Gestion Integrada de Cuencas,No
0001389538,Organizaciones y modelos de gestión,Si
0001466598,sociología urbana y educación,No
0001466598,sociología de la religión,No
0001466598,Género y política,Si
0001466598,género y derechos humanos,Si
0001466598,Género y economía social y solidaria,No
0001358471,Humanismo y organizaciones,Si
0000594881,Salud Sexual y Reproductiva de las mujeres,Si
0000594881,Economia feminista,Si
0000594881,Conflicto armado y mujeres,Si
0000594881,Pobreza y Desarrollo,Si
0000594881,Derechos Humanos de las mujeres,Si
0000322741,ENTOMOLOGIA,Si
0000322741,PARASITOLOGIA HUMANA Y ANIMAL,Si
0000322741,Micología,Si
0000322741,Infectología,Si
0000322741,Salud pública,Si
0000322741,Neurología Tropical,Si
0001632197,Cáncer,Si
0001632197,Enfermedades infecciosas,Si
0001329022,Salud Pública,Si
0000694061,Historia e Imagen audiovisual,Si
0000082373,"I+D+i en Ingeniería del Software, Modelado e Inteligencia Computacional",Si
0000082373,"Ingeniería de datos, del conocimiento y del software",Si
0001369514,CEMPA,Si
0001354030,Fisioterapia,Si
0001354030,TOXOPLASMOSIS,Si
0001354030,SALUD PUBLICA,Si
0001354030,ENFERMEDADES CRONICAS NO TRASMISIBLES,Si
0000507962,EDUCACION Y DESARROLLO HUMANO,Si
0001516094,Actividad Física y Deporte,Si
0000012692,Seguridad y salud en el trabajo,Si
0000012692,Ciencias de la salud,Si
0000274445,Calidad y educación,Si
0000274445,Salud Pública y Bienestar,Si
0000011561,Ergonomía,Si
0000011561,Seguridad y Salud en el Trabajo,Si
0000158037,Salud Pública,Si
0000158037,Ciencias cardiovasculares,Si
0000158037,Salud pública y Cuidado primario,Si
0000158037,"SALUD PÚBLICA, LABORAL Y GESTIÓN SOCIAL",Si
0000158037,Falla cardiaca,Si
0000893188,Calidad de vida,Si
0000893188,Sustancias psicoactivas,Si
0000893188,Antropología histórica,Si
0001056271,Gerontología y Geriatría,Si
0001056271,procesos de intervención,Si
0001056271,Actividad física y Deporte,Si
0001056271,políticas públicas,Si
0001056271,INTERVENCIÓN FISIOTERAPEUTICA EN EL CICLO VITAL,Si
0000515442,MOVIMIENTO CORPORAL HUMANO Y CALIDAD DE VIDA,Si
0000796158,DESARROLLO HUMANO,Si
0000796158,TECNOLOGIA,Si
0000796158,DESARROLLO Y COMUNIDAD,Si
0000796158,FISIOTERAPIA Y  COMUNIDAD,No
0000796158,salud publica,Si
0001464184,Fisioterapia en Cuidado Intensivo,Si
0000545309,DISCAPACIDAD,Si
0000480592,"Motricidad y Desarrollo Humano, Procesos de contacto en la formación del profesional en Fisioterapia. Grupo de Investigación Kon-Moción",Si
0000480592,Salud y Calidad de Vida. Grupo de Investigación Movimiento Corporal Humano y Calidad de Vida,Si
0000480592,Salud Pública. Grupo Inv. MCHCV,Si
0000480592,Calidad y Educación. Grupo Investigación Movimiento Corporal Humano y Calidad de Vida,Si
0000480592,SALUD PÚBLICA Y BIENESTAR EN FISIOTERAPIA,Si
0000480592,"Humanismo, salud y cultura. Grupo Investigación Salud y Calidad de Vida",No
0000480592,Identidad y socialización,Si
0000480592,Pedagogías de la alteridad,Si
0000480592,EDUCACIÓN Y DESARROLLO HUMANO,Si
0001423562,Salud Mental,Si
0000456594,Salud Humanismo y Cultura,No
0000456594,Fisioterapia y Comunidad,No
0000456594,Movimiento Corporal Humano y Discapacidad,No
0000456594,Fundamentación del Movimiento Corporal Humano,No
0000456594,Calidad y Educación,Si
0000456594,Salud pública y bienestar en Fisioterapia,Si
0000456594,Salud Publica,Si
0000456594,Salud y Calidad de Vida,Si
0000456594,Educación y fisioterapia,No
0000501484,Salud Pública y Bienestar en Fisioterapia,Si
0000501484,Educación y desarrollo humano,Si
0000501484,Actividad Física y Deporte,Si
0000100022,ACTIVIDAD FÍSICA Y DEPORTE,Si
0000348066,Gestión del Conocimiento,Si
0000348066,Epidemiología Genética,Si
0000348066,Epidemiologia Molecular,Si
0000348066,Biología Molecular y Genética,Si
0000233013,"Economìas, culturas y subjetividad",Si
0000233013,Visiones y practicas de diferencia económico/cultural,Si
0000664170,"SOCIEDAD, GESTION Y CONTABILIDAD",Si
0000667021,Intangibles,Si
0000667021,Sociedad y Medio Ambiente,Si
