idcvlac,nombre,activa
0001365599,Sistemas Empotrados,No
0001365599,Dispositivos Móviles,Si
0001365599,Sistemas basados en conocimiento,Si
0000523496,Tecnologías emergentes,Si
0000523496,Gestión de Sistemas,Si
0000523496,Ambientes Virtuales de Aprendizaje,Si
0000523496,Interacción Humano-Computador,Si
0001499924,Web Science,Si
0001499924,Health Informatics,Si
0001499924,Ingeniería de Software,Si
0001499924,Interfaz Humano Cerebral,Si
0001499924,Seguridad Informática,Si
0001499924,Machine Learning,Si
0000374865,Tecnologias de la informacion y la comunicacion,Si
0001253220,Telecomunicaciones,Si
0001253220,Desarrollo de Software,Si
0000374920,TIC en la Educación,Si
0000374920,Investigacion Docente,No
0000374920,Trabajo Colaborativo,No
0000374920,Redes de Nueva Generacion,No
0000374920,Ambientes Virtuales Colaborativos,No
0000374920,Robotica,Si
0000374920,Robotica Colaborativa,No
0000374920,Uso Industrial de la SANSEVIERIA TRIFASCIATA,Si
0000212440,Sistemas Empresariales de Información,Si
0000212440,Desarrollo de Software,No
0000212440,Sistemas Autónomos,No
0000212440,Sublínea Desarrollo de Software,Si
0000212440,Desarrollo de las Tecnologías de la Información y las Comunicaciones,Si
0000083537,Ingeniería de Software,Si
0000170944,Criptografía,Si
0001412477,Procesamiento digital de imágenes y video,Si
0001412477,Inteligencia y visión Artificial,Si
0001412477,Minería de datos,Si
0001412477,Machine Learning,Si
0001412477,Percepción Remota,Si
0001698898,Realidad Virtual,Si
0001698898,Procesamiento Digital de Imágenes,Si
0001698898,Inteligencia Artificial,Si
0000677043,Desarrollo e Implementación del sistema ADAFUSMM,Si
0000677043,Analis y Diseño de la Tecnología de Información de la Facultad de Finanzas y Relaciones Internacionales,No
0000677043,Desarrollo e implementación del Sistema ADAFUSM,No
0000677043,Analisis y Diseño de la Tecnología de Información de la Facultad,Si
0000677043,"Jurado de Tesis: Analsis, Diseño y Desarrollo de la Página web Colegio Champagnat de Ipiales",No
0000677043,Jurado de Tesis: Diseño e Implementación del Portal Web Empresa Agroganadero,No
0000677043,Jurado de Tesis: Creación e Implementación de la Página Web de Vehiculos Robados de la Fiscalia Seccional Nariño,No
0000677043,Jurado de Tesis: Creación e Implementación de la WEB municipio de Taminango Nariño,No
0000677043,Jurado de Tesis: Creación e Implementación Página WEB colegio San Felipe Neri - Pasto,No
0000677043,Jurado de Tesis: Análisis y Diseño de la Red de Area Local del Municipio de Yacuanquer,No
0000677043,Jurado de Tesis: Creación e Implementación del Sistema de Información para el Hospital del Municipio de Yacuanquer - Nariño,Si
0000677043,Evaluador Interno I convocatoria Año 2005 UCC,No
0001492988,Desarrollo de Software,Si
