idgruplac,verificado,tipo,nombre,lugar,fecha,disponibilidad,url,nombre_comercial,nombre_proyecto,institucion,autores
00000000007827,False,Computacional,INVENTARIOS FRENOS GALINDEZ,Colombia,2007,Restricta,Autofrenos Galindez,,,Autofrenos Galindez,LUIS FREDDY MUNOZ SANABRIA
00000000007827,False,Computacional,FACTORIA DE SOFTWARE,Colombia,2008,Restricta,Fundaciòn Universitaria de Popayàn y otros,,,Fundaciòn Universitaria de Popayàn y otros,LUIS FREDDY MUNOZ SANABRIA
00000000007827,False,Computacional,software para la implantación del sistema de gestión de calidad ISO 9000:2008,Colombia,2011,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,,Fundación Universitaria de Popayán,FUNDACION UNIVERSITARIA DE POPAYAN,LUIS FREDDY MUNOZ SANABRIA
00000000007827,False,Computacional,Sistema para kardex y facturación,Colombia,2011,Restringido,EL ALMACEN VARIEDADES TITI¿S,,Fundación Universitaria de Popayán,EL ALMACEN VARIEDADES TITI¿S,LUIS FREDDY MUNOZ SANABRIA
00000000007827,False,Computacional,software para la gestión de las cédulas cafeteras,Colombia,2011,Restringido,FEDERACIÓN NACIONAL DE CAFETEROS DE COLOMBIA - CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ (CENICAFÉ),,Fundación Universitaria de Popayán,FEDERACIÓN NACIONAL DE CAFETEROS DE COLOMBIA - CENTRO NACIONAL DE INVESTIGACIONES DE CAFÉ (CENICAFÉ),LUIS FREDDY MUNOZ SANABRIA
00000000007827,False,Computacional,VIDEO JUEGO DISGRAFÍA KIDS,Colombia,2020,Restringido,FUNDACION UNIVERSITARIA DE POPAYAN,VIDEO JUEGO DISGRAFÍA KIDS,,FUNDACION UNIVERSITARIA DE POPAYAN,"LUIS ALFONSO VEJARANO SANCHEZ, LUIS FREDDY MUNOZ SANABRIA"
00000000008160,False,Computacional,Sistema de Información de Investigaciones,Colombia,1999,Restricta,UNIVERSIDAD DEL CAUCA,,,UNIVERSIDAD DEL CAUCA,"ADOLFO PLAZAS TENORIO, JUAN CARLOS ORTIZ"
00000000014080,False,Multimedia,TerraExplora,Colombia,2018,Restringido,No Aplica,,,No Aplica,CAROLINA GONZALEZ SERRANO
00000000008160,False,Computacional,Semantic Search on Internet of Things,Colombia,2014,No restringido,UNIVERSIDAD DEL CAUCA,Buscador Semántico en Internet de las Cosas,,UNIVERSIDAD DEL CAUCA,"MIGUEL ANGEL NINO ZAMBRANO, JESUS ALBERTO NINO ZAMBRANO, GUSTAVO ADOLFO RAMIREZ GONZALEZ"
00000000008160,False,Computacional,ALGORITMO DE CLASIFICACIÓN DE SEÑALES DE ELECTROENCEFALOGRAFÍA (EEG) Y DATOS CLÍNICOS RELEVANTES PARA SOPORTAR EL DIAGNÓSTICO DE LA EPILEPSIA,Colombia,2019,Restringido,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias",ALGORITMO DE CLASIFICACIÓN DE SEÑALES DE ELECTROENCEFALOGRAFÍA (EEG) Y DATOS CLÍNICOS RELEVANTES PARA SOPORTAR EL DIAGNÓSTICO DE LA EPILEPSIA,,"Ministerio de Ciencia, Tecnología e Innovación - Minciencias","DIEGO MAURICIO LOPEZ GUTIERREZ, RICARDO SALAZAR CABRERA, MARITZA FERNANDA MERA GAONA, EDWARD ALEXIS MOLINA RIVERA, RUBIEL VARGAS CANAS, CAMILO ERNESTO SARMIENTO TORRES, MARIA EUGENIA MINO ARANGO"
