idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,plataforma,ambiente,palabras,areas,sectores
0000018983,"JULIAN ANDRES MERA PAZ, RAMON FERNANDO COLMENARES QUINTERO, OSCAR IVAN DACTO ANDELA, LUIS ANGEL GUARIN GARCIA",Save the Earth,Computacional,False,,INV2850,Colombia,2020,,,No Aplica,No Aplica,No Aplica
0000018983,"ANDRES FELIPE PISSO TOBAR, JULIAN ANDRES MERA PAZ, ROBERTO ENCARNACION MOSQUERA, NOHORA JULIETA BOLANOS BOLANOS",Kodety,Multimedia,True,Kodety,4732,Colombia,2015,"La plataforma se implementó en construct 2 un lenguaje de programación para creación de juegos en formato HTML5 y con diseño para juegos 2D, contiene: El juego está diseñado en 3 zonas grandes y cada zona contiene aproximadamente 8-10 niveles dentro de ella, los niveles se presentan de forma secuencial y es necesario completarlos de uno en uno para seguir progresando en la historia, existirán niveles que tengan un requisito previo como la obtención de cierto número de estrellas/rocas para poder acceder a él","El juego está diseñado en 3 zonas grandes y cada zona contiene aproximadamente 8-10 niveles dentro de ella, los niveles se presentan de forma secuencial y es necesario completarlos de uno en uno para seguir progresando en la historia, existirán niveles que tengan un requisito previo como la obtención de cierto número de estrellas/rocas para poder acceder a él. Misiones y estructura de retos Misiones Principales El objetivo principal en cada nivel es la obtención de todas las rocas/estrellas dentro de cada nivel, en el último nivel el objetivo será ubicar las piezas en los lugares indicados para poder crear el nuevo sello. Misiones Secundarias Dentro de cada nivel se presentarán algunas misiones secundarias que permitirán validar la efectividad con la que se resuelve el nivel",No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",No Aplica
0002006794,OSCAR IVAN DACTO ANDELA,save the earth,Computacional,False,,INV2850,Colombia,2021,,,No Aplica,No Aplica,No Aplica
0001359609,RODOLFO JOSE MARIA SALAS LOPEZ,Sistema automatizado para la calificacion y elaboracion de perfiles con el MMPI II,Otra,False,Sisema de Calificacion del MMPI II,,Colombia,2010,Ms Excel,HOja de Calculo,No Aplica,No Aplica,No Aplica
0001359609,RODOLFO JOSE MARIA SALAS LOPEZ,Programa para calificar el test de orientacion vocacional kuder forma c,Computacional,False,aplicacion kuder,,Colombia,2010,microsoft pc,excel,No Aplica,No Aplica,No Aplica
0000144126,"VICTOR ALFREDO SOTELO MERA, EDISON JAVIER TITUANA S, ALEJANDRO TOLEDO TOVAR",Herramienta Educativa para el Aprendizaje de Ciencias Naturales y Educación Ambiental - Grado Sexto de Educación Media,Multimedia,False,,,Colombia,2003,Windows,"Tiene una interfaz amigable, portable y fácil de manejar",TICs;Software Multimedia;Ciencias Naturales y Educación Ambiental,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Educación
0000416509,"ANDRES EUGENIO ENRIQUEZ LENIS, MAXVELL MIRA LONDONO, MANUEL EMILIO QUINTERO, VICTOR MANUEL GARCIA",Diseño y construcción de un software de manipulación para el robot Robix RCS-6 para ser utilizado con fines didácticos en el área de automática,Computacional,False,,,Colombia,1997,Windows,Visual Basic,Robótica;Automática;Software;Electrónica;Mecatrónica;Programación,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ciencias Naturales;Computación y Ciencias de la Información;Ciencias de la Computación",Desarrollo de programas (software) y prestación de servicios en informática
0000416509,ANDRES EUGENIO ENRIQUEZ LENIS,Sistematización de la Coordinación de Sistemas de Bancafé,Computacional,False,,,Colombia,1995,D.O.S./ Windows/ Unix,Informix 4GL,No Aplica,No Aplica,No Aplica
0001340277,CARLOS ALBERTO ASTUDILLO TRUJILLO,Parche de Integración MPLS y FHMIPv6 para NS 2.32,Computacional,False,,,Colombia,2009,C++ y TCL,Linux,No Aplica,No Aplica,No Aplica
0000012432,"GUEFRY LEIDER AGREDO MENDEZ, EMBER UBEIMAR MARTINEZ, VIRGINIA SOLARTE MUNOZ, GIOVANNY LOPEZ PERAFAN, EDGARD CASTILLO ERASSOUR, SILER AMADOR DONADO",Software para Control y Seguimiento de la Tuberculosis según la estrategia DOTS.,Computacional,False,,,Colombia,2004,Microsoft Visual Studio .NET,Servicios Web y XML,Tuberculosis;Dots;OMS;.NET,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ciencias Médicas y de la Salud;Ciencias de la Salud;Salud Pública",Salud humana
0000012432,"GUEFRY LEIDER AGREDO MENDEZ, NATALICA CAROLINA MAYA, EVA JULIANA MAYA",MAFUS - Aplicación de Gestión para Estaciones de Usuario,Computacional,True,MAFUS,,Colombia,2005,"Java, WMI, CIM, WBEM","Tiene interfaz web y es portable, escalable y fácil de usar",Gestión de Redes;WBEM;WMI;DMTF;Java,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica",Otros sectores
0001113470,"JENNY CUATINDIOY IMBACHI, SEBASTIAN VILLEGAS MONCADA, MAURICIO GONZALEZ PALACIO, CARLOS ANDRES ARREDONDO OROZCO, MARIO ALBERTO LUNA DEL RISCO",PIV-SOFT,Computacional,False,PIV-SOFT,,Colombia,2018,,,páneles solares,No Aplica,No Aplica
0001113470,"JENNY CUATINDIOY IMBACHI, ANA MARIA CARDENAS SOTO, DIANA MARIA GOMEZ JARAMILLO, DUBY SULAY CASTELLANOS CARDENAS",ANÁLISIS DE DESEMPEÑO DEL CODIFICADOR REED SOLOMON CON EL ALGORITMO EUCLIDIANO,Computacional,False,ANÁLISIS DE DESEMPEÑO DEL CODIFICADOR REED SOLOMON CON EL ALGORITMO EUCLIDIANO,761,Colombia,2017,Matlab - Interfaz Gráfica,Matlab - Interfaz Gráfica,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Telecomunicaciones",Educación
0001113470,"JENNY CUATINDIOY IMBACHI, DUBY SULAY CASTELLANOS CARDENAS, SERGIO ARMANDO GUTIERREZ BETANCUR, FABIO CASTRILLON HERNANDEZ, JUAN PABLO URREA DUQUE",SIMULACIÓN DE SISTEMAS CON RESPUESTA INVERSA UTILIZANDO DIFERENTES TÉCNICAS DE SINTONÍA PID,Computacional,False,SIMULACIÓN DE SISTEMAS CON RESPUESTA INVERSA UTILIZANDO DIFERENTES TÉCNICAS DE SINTONÍA PID,781,Colombia,2019,,Aplicación desarrollada en Matlab R2017b para ambientes de 64 bits,No Aplica,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control",No Aplica
0001405019,"JUAN PABLO HOYOS SANCHEZ, JULIAN PENA PENA, PILAR JOAQUI",Squirrel,Otra,False,Squirrel,,Colombia,2009,Android,Moviles,android;gpx;localizacion;mapas;radar,No Aplica,No Aplica
0001405019,JUAN PABLO HOYOS SANCHEZ,Plataforma de Gestion de Listas de Espera Quirurgica,Computacional,False,,,Colombia,2021,,,No Aplica,No Aplica,No Aplica
0001380095,MARIA FERNANDA RIVERA SANCLEMENTE,SOFTWARE PARA ANÁLISIS DE FILTROS ADAPTATIVOS,Computacional,False,,,Colombia,2022,,,Algoritmos adaptativos;Configutación Affine;Filtros Adaptativos;Lattice,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería Eléctrica y Electrónica, Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías",Salud humana
0000068715,"MARIA ISABEL TURBAY VARONA, ANDRES JOSE PRIETO IBANEZ, PILAR ORTIZ CALDERON, DANIEL CAGIGAS MUNIZ, JUAN MANUEL MACIAS BERNAL, ROCIO ORTIZ CALDERON",Art -Risk 3.0,Computacional,True,Art -Risk 3.0,BIA2015-64878-R,España,2019,"La aplicación informática Art-Risk 3.0 está sustentado por un total de 21 variables de entrada. Las siguientes tablas muestran la definición cualitativa y cuantitativa de cada una de ellas, así́ como una breve descripción para facilitar su compresión y valoración. Web Content Accessibility Guidelines (WCAG) 2, Level AA Conformance",Los denominados IDE cumplen algunas características básicas del usuario. Como una multiplataforma y una interfaz práctica que facilita el proceso integral de la programación. Los entornos de desarrollo son Eclipse o NetBeans y permiten la instalación de extensiones y plugins que se pueden añadir en función de las necesidades del usuario,No Aplica,Ingeniería y Tecnología;Ingeniería Civil;Ingeniería Arquitectónica,"Productos y servicios de recreación,culturales, artísticos y deportivos, Desarrollo Urbano"
0001873756,"ANGELA PATRICIA RODRIGUEZ URRESTE, HELDER YESID CASTRILLON COBO",Game reading.,Computacional,False,Game Reading,"Correlación entre la satisfacción de contenidos web para la enseñanza y los estados mentales, caso de estudio la lectoescritura.",Colombia,2020,"Validación no se deja actualizar --- La validación se hizo con grupos de estudiantes de distintos semestres y carreras, se utilizados dos aplicaciones con distintas estrategias de lectoescritura, de forma que se logra evidenciar como la aplicación Gamereading que implementa el concepto de literatura comparada motiva al estudiante en la lectura ( gusto por la lectura)",WEB,No Aplica,No Aplica,No Aplica
0001475344,"ROBERT SANCHEZ CANO, DANNY MANUEL CALVO VELASCO",SGRAFO - SIMULACIÓN DE SISTEMAS FOTÓNICOS GRADATIVOS,Computacional,False,,,Colombia,2021,,,No Aplica,No Aplica,No Aplica
0001350638,SANDRA JULIANA VIVAS IDROBO,ENGLISH LEVEL 2: RESOURCE,Computacional,True,ENGLISH LEVEL 2: RESOURCE,,Colombia,2020,,,No Aplica,No Aplica,No Aplica
