idcvlac,autor,nombre,tipo,verificado,nombre_comercial,contrato_registro,lugar,fecha,palabras,areas,sectores
0000004900,INGRID SELENE TORRES ROJAS,Reconocimiento del MEN de la Renovación de registro calificado del Programa de Licenciatura en Educación Infantil,Empresarial,False,,,Colombia,2018,No Aplica,No Aplica,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad Creazion,Organizacional,True,,,Colombia,2020,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad SERATIC,Organizacional,True,,,Colombia,2020,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad BitBang,Organizacional,True,,,Colombia,2020,No Aplica,No Aplica,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad Dobleclick,Organizacional,True,,,Colombia,2020,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,No Aplica
0000870994,WILFRED FABIAN RIVERA MARTINEZ,iNNpulsa Productividad_SUNSET,Organizacional,True,,,Colombia,2020,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,No Aplica
0001124838,"MARIA EUGENIA SALDARRIAGA SALAZAR, WILLINGTON BENITEZ CHARA, DIANA MARCELA MONTILLA VALENCIA, LUISA FERNANDA LOSADA ARTUNDUAGA",Innovación de las prácticas docentes y de estudiantes de las Instituciones Educativa César Negret Velasco de la Ciudad de Popayán,Organizacional,False,,,Colombia,2021,EDUCACION;Educación en Casa;PEDAGOGIA,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
0001124838,MARIA EUGENIA SALDARRIAGA SALAZAR,DISEÑO E IMPLEMENTACION DE PLAN ESTRATÉGICO ORGANIZACIONAL EN LA EMPRESA SISGAR INGENIERÍA METALMECANICA DE LA CIUDAD DE POPAYÁN,Organizacional,True,,,Colombia,2016,EMPRESA;EMPRESARISMO;ESTRATEGIA;ESTRUCTURA ORGANIZACIONAL;GLOBALIZACIÓN;NORMAS;ORGANIZACIÓN,Ciencias Sociales;Economía y Negocios;Negocios y Management,"Productos y servicios de recreación,culturales, artísticos y deportivos"
0001124838,"EDUARDO ANDRES CONCHA CERON, MARIA EUGENIA SALDARRIAGA SALAZAR, MARIA DEL MAR LONDONO ORDONEZ",Innovaciones en el ámbito organizacional de la Fundación Red Emprendedoras Popayán,Organizacional,True,,,Colombia,2020,Contexto Empresarial;Innovación Empresarial;GESTIÓN INSTITUCIONAL;ESTRUCTURA ORGANIZACIONAL,Ciencias Sociales;Economía y Negocios;Negocios y Management,Otros sectores
0000861863,"WILLINGTON BENITEZ CHARA, MARIA EUGENIA SALDARRIAGA SALAZAR, DIANA MARCELA MONTILLA VALENCIA, LUISA FERNANDA LOSADA ARTUNDUAGA",Innovación de las prácticas docentes y de estudiantes de las Instituciones Educativa César Negret Velasco de la Ciudad de Popayán,Organizacional,False,,,Colombia,2021,Pedagogía;Educación;Educación en Casa,"Ciencias Sociales;Ciencias de la Educación;Educación General (Incluye Capacitación, Pedagogía)",Educación
0001424171,CESAR DANIEL ERIC SAMBONI ADRADA,Modelo de negocio y sostenibilidad para el CDT Creatic,Organizacional,False,,,Colombia,2019,No Aplica,Ciencias Sociales;Economía y Negocios;Negocios y Management,No Aplica
0001623116,"JHON ALEXANDER GUERRERO NARVAEZ, DESARROLLO DE UN MÉTODO PARA LA SELECCIÓN",PRIORIZACIÓN Y EVALUACIÓN DE PROYECTOS DE INNOVACIÓN Y DESARROLLO,Organizacional,False,,,Colombia,2022,Método de Ponderación - Scoring;viabilidad financiera;Método Jerárquico de Análisis,Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías,"Fabricación de máquinas y equipos, incluso máquinas"
0001623116,"LIDIER JAVIER VIDAL COBO, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN EL DESARROLLO DEL PLAN DE GESTIÓN DE MANTENIMIENTO DE MAQUINARIA Y EQUIPOS EN SUPER E & CIA S.A.S,Empresarial,True,,,Colombia,2020,Predictivo;EN13269;Mantenimiento;NTC 2050;NTC ISO 9001:2015;Preventivo;Plan de mantenimiento;RETIE,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Ingeniería Industrial",Otros sectores
0001623116,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN DISEÑO E IMPLEMENTACIÓN DEL PLAN DE MANEJO Y MITIGACIÓN DE RUIDO - PMMR Y EL PLAN DE MANEJO Y MITIGACIÓN DE MATERIAL PARTICULADO - PMMMP DEL PROCESO PRODUCTIVO DESARROLLADO POR EMPAQUES DEL CAUCA S.A,Empresarial,True,,,Colombia,2019,Buenas prácticas de ingeniería;Desarrollo sostenible;Emisión Atmosférica;Plan de gestión ambiental;Ruido,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control","Fabricación de productos textiles, celulosa, papel y productos de papel"
0001623116,"JHON ALEXANDER GUERRERO NARVAEZ, JOHANA PATRICIA ASTUDILLO GUTIERREZ, INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN LA PLANIFICACIÓN",CONTROL Y SUPERVISIÓN DEL AHORRO Y USO EFICIENTE DE ENERGÍA ELÉCTRICA EN EL PROCESO PRODUCTIVO DE SACOS DE FIQUE,Empresarial,True,,,Colombia,2019,Ley 697 - 2001;Flujo de proceso;Ahorro de energía;ISO 50001;ISO 50002;Plan de gestión ambiental;Procesos productivos;Uso eficiente de energía,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Fabricación de productos textiles, celulosa, papel y productos de papel"
0001677408,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ, INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN LA PLANIFICACIÓN",CONTROL Y SUPERVISIÓN DEL AHORRO Y USO EFICIENTE DE ENERGÍA ELÉCTRICA EN EL PROCESO PRODUCTIVO DE SACOS DE FIQUE,Empresarial,True,,,Colombia,2019,Uso eficiente de energía;Ahorro de energía;Energía ;Flujo de proceso;Ingeniería Ambiental;ISO 50002;Ley 697 - 2001;ISO 50001;Plan de Manejo Ambiental,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control","Productos y servicios para la defensa y protección del medio ambiente, incluyendo el desarrollo sostenible., Fabricación de productos textiles, celulosa, papel y productos de papel"
0001677408,"JOHANA PATRICIA ASTUDILLO GUTIERREZ, JHON ALEXANDER GUERRERO NARVAEZ",INNOVACIÓN GENERADA EN LA GESTIÓN EMPRESARIAL EN DISEÑO E IMPLEMENTACIÓN DEL PLAN DE MANEJO Y MITIGACIÓN DE RUIDO - PMMR Y EL PLAN DE MANEJO Y MITIGACIÓN DE MATERIAL PARTICULADO- PMMMP DEL PROCESO PRODUCTIVO DESARROLLADO POR EMPAQUES DEL CAUCA S.A,Empresarial,True,,,Colombia,2019,Buena Práctica de Ingeniería;Desarrollo Sostenible;Emisión atmosférica;Ruido;Plan de Manejo Ambiental;Material Particulado -PM,"Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Otras Ingenierías y Tecnologías, Ingeniería y Tecnología;Ingeniería Ambiental;Ingeniería Ambiental y Geológica, Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Automatización y Sistemas de Control","Fabricación de productos textiles, celulosa, papel y productos de papel"
0000443611,"YULIANA VANESA PUERTA CRUZ, JUAN CONTRERAS MONTES, MARIA CLAUDIA BONFANTE RODRIGUEZ, JOAQUIN SEGUNDO SILVA ROMERO, JAIRO ACOSTA SOLANO",SISTEMA DE INFORMACION GEOGRAFICA PARA LA VIGILANCIA EPIDEMIOLOGICA DE CARTAGENA (SIVIEP MAP 1.0),Organizacional,False,,,Colombia,2016,Vigilancia Epidemiologica;Aplicaciones Moviles,"Ingeniería y Tecnología;Ingenierías Eléctrica, Electrónica e Informática;Ingeniería de Sistemas y Comunicaciones",Desarrollo de programas (software) y prestación de servicios en informática
0000215899,LUIS FERNANDO MOLINEROS GALLON,"Estrategia Integrada ""Yo te Cuido y Tu Me Cuidas"" (EIYCTC)",Organizacional,True,,,Colombia,2020,App;Estrategia Integrada;Covid 19,"Ciencias Médicas y de la Salud;Ciencias de la Salud;Ciencias del Cuidado de la Salud y Servicios (Administración de Hospitales, Financiamiento)","Productos y servicios de recreación,culturales, artísticos y deportivos"
0000215899,LUIS FERNANDO MOLINEROS GALLON,Estrategia Yo me Cuido Tu Te Cuedas en el Municipio de Túquerres,Organizacional,True,,,Colombia,2020,Hoja de Ruta; Covid 19; Tuquerres,No Aplica,No Aplica
0000215899,LUIS FERNANDO MOLINEROS GALLON,Creación e Implementación del Centro de Investigaciones Clínicas de la Fundación Hospital San Pedro,Organizacional,True,,,Colombia,2017,Centro de Investigaciones Clínicas;Plataforma de Ciencia y Tecnología,Ciencias Médicas y de la Salud;Ciencias de la Salud;Políticas de Salud y Servicios,Salud humana
0000435724,"DIDIER RUBEN CORDOBA LOZADA, WILFRED FABIAN RIVERA MARTINEZ, Mejoramiento en la calidad y consistencia de los cafés de especialidad a través de procesos de innovación en las etapas de cultivo, beneficio y comercialización que desarrolla la Federación Campesina del Cauca FCC",en la zona centro del departamento del Cauca - Junio 15 de 2022 a octubre 15 de 2022,Organizacional,False,,,Colombia,2022,Innovación Empresarial,No Aplica,No Aplica
0000742520,JESUS EDUARDO BRAVO GOMEZ,desarrollo de snacks con probióticos,Empresarial,False,,,Colombia,2021,COMERCIALIZACION;DISEÑO;DECRETO 3075,"Ingeniería y Tecnología;Biotecnología Industrial;Biotecnología Industrial, Ingeniería y Tecnología;Otras Ingenierías y Tecnologías;Alimentos y Bebidas",Productos y procesos biotecnológicos
0001233416,PABLO VEGA VASQUEZ,Nano y micro emulsiones que comprenden aceites esenciales o fijos y tensioactivo no ionico GRAS (generalmente reconocido como seguro),Organizacional,False,,,Colombia,2014,No Aplica,No Aplica,No Aplica
